age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
,,,3,,,,,,0,0,,Non-US,<=50K
,,,2,,,,,,0,0,,Non-US,<=50K
,,,3,,,,,,0,0,,Non-US,<=50K
,,,3,,,,,,0,0,,Non-US,<=50K
,,,2,,,,,,0,0,,Non-US,<=50K
,,,2,,,,,,0,0,,Non-US,<=50K
,,,4,,,,,,0,0,,Non-US,<=50K
,,,2,,,,,,0,0,,Non-US,<=50K
,,,1,,,,,,0,0,,Non-US,<=50K
,,,2,,,,,,0,0,,Non-US,<=50K
,,,2,,,,,,0,0,,Non-US,<=50K
,,,3,,,,,,0,0,,Non-US,<=50K
,,,2,,,,,,0,0,,Non-US,<=50K
,,,3,,,,,,0,0,,Non-US,<=50K
,,,4,,,,,,0,0,,Non-US,<=50K
,,,4,,,,,,0,0,,Non-US,<=50K
,,,3,,,,,,0,0,,Non-US,<=50K
,,,3,,,,,,0,0,,Non-US,<=50K
,,,1,,,,,,0,1602,,Non-US,<=50K
,,,2,,,,,,0,0,,Non-US,<=50K
,,,1,,,,,,0,0,,Non-US,<=50K
,,,3,,,,,,0,0,,Non-US,<=50K
,,,1,,,,,,0,0,,Non-US,<=50K
,,,3,,,,,,0,0,,Non-US,<=50K
,,,1,,,,,,0,0,,Non-US,<=50K
,,,1,,,,,,0,0,,Non-US,<=50K
,,,1,,,,,,0,0,,Non-US,<=50K
,,,3,,,,,,0,0,,Non-US,<=50K
,,,2,,,,,,0,0,,Non-US,<=50K
,,,1,,,,,,0,0,,Non-US,<=50K
,,,1,,,,,,0,0,,Non-US,<=50K
,,,2,,,,,,0,0,,Non-US,<=50K
,,,1,,,,,,0,0,,Non-US,<=50K
,,,2,,,,,,0,0,,Non-US,<=50K
,,,1,,,,,,0,0,,Non-US,<=50K
,,,3,,,,,,0,0,,Non-US,<=50K
,,,2,,,,,,0,0,,Non-US,<=50K
,,,1,Divorced,,,,Female,0,0,,Non-US,<=50K
,,,2,Divorced,,,,Female,0,0,,Non-US,<=50K
,,,4,Divorced,,,,Female,0,0,,Non-US,<=50K
,,,3,Divorced,,,,Female,0,0,,Non-US,<=50K
,,,2,Divorced,,,,Female,0,0,,Non-US,<=50K
,,,3,Divorced,,,,Female,0,0,,Non-US,<=50K
,,,3,Divorced,,,,Female,0,0,,Non-US,<=50K
,,,2,Divorced,,,,Female,0,0,,Non-US,<=50K
,,,2,Divorced,,,,Female,0,0,,Non-US,<=50K
,,,2,Divorced,,,,Female,0,0,,Non-US,<=50K
,,,3,Divorced,,,,Female,0,0,,Non-US,<=50K
,,,2,Divorced,,,,Female,0,0,,Non-US,<=50K
,,,3,Divorced,,,,Female,0,0,,Non-US,<=50K
,,,1,Divorced,,,,Female,0,0,,Non-US,<=50K
,,,2,Divorced,,,,Female,0,0,,Non-US,<=50K
,,,2,Divorced,,,,Female,0,0,,Non-US,<=50K
,,,2,Divorced,,,,Female,0,0,,Non-US,<=50K
,,,2,Divorced,,,,Female,0,0,,Non-US,<=50K
,,,3,Married-civ-spouse,,,,Female,0,0,,Non-US,<=50K
,,,3,Married-civ-spouse,,,,Female,0,0,,Non-US,<=50K
,,,3,Married-civ-spouse,,,,Female,0,0,,Non-US,<=50K
,,,3,Married-civ-spouse,,,,Female,0,0,,Non-US,<=50K
,,,3,Married-civ-spouse,,,,Female,0,0,,Non-US,<=50K
,,,3,Married-civ-spouse,,,,Female,0,0,,Non-US,<=50K
,,,2,Married-civ-spouse,,,,Female,0,0,,Non-US,<=50K
,,,2,Married-civ-spouse,,,,Female,0,0,,Non-US,<=50K
,,,3,Married-civ-spouse,,,,Female,0,2057,,Non-US,<=50K
,,,2,Married-civ-spouse,,,,Female,4508,0,,Non-US,<=50K
,,,2,Married-civ-spouse,,,,Female,0,0,,Non-US,<=50K
,,,2,Married-civ-spouse,,,,Female,0,0,,Non-US,<=50K
,,,1,Married-civ-spouse,,,,Female,0,0,,Non-US,<=50K
,,,2,Married-civ-spouse,,,,Female,0,0,,Non-US,<=50K
,,,2,Married-civ-spouse,,,,Female,0,0,,Non-US,<=50K
,,,2,Married-civ-spouse,,,,Female,0,0,,Non-US,<=50K
,,,2,Married-spouse-absent,,,,Female,0,0,,Non-US,<=50K
,,,2,Married-spouse-absent,,,,Female,0,0,,Non-US,<=50K
,,,4,Married-spouse-absent,,,,Female,0,0,,Non-US,<=50K
,,,2,Married-spouse-absent,,,,Female,0,0,,Non-US,<=50K
,,,2,Married-spouse-absent,,,,Female,0,0,,Non-US,<=50K
,,,2,Married-spouse-absent,,,,Female,0,0,,Non-US,<=50K
,,,3,Married-spouse-absent,,,,Female,0,0,,Non-US,<=50K
,,,1,Married-spouse-absent,,,,Female,0,0,,Non-US,<=50K
,,,3,Married-spouse-absent,,,,Female,0,0,,Non-US,<=50K
