age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
20s,,,3,,,,,Female,0,0,40,Non-US,<=50K
20s,,,2,,,,,Female,0,0,40,Non-US,<=50K
20s,,,2,,,,,Female,0,0,40,Non-US,<=50K
40s,,,4,,,,,Female,0,0,40,Non-US,<=50K
40s,,,2,,,,,Female,0,0,40,Non-US,<=50K
40s,,,2,,,,,Female,0,0,40,Non-US,<=50K
40s,,,3,,,,,Female,0,0,40,Non-US,<=50K
50s,,,4,,,,,Female,0,0,40,Non-US,<=50K
50s,,,2,,,,,Female,0,0,40,Non-US,<=50K
50s,,,1,,,,,Female,0,0,40,Non-US,<=50K
50s,,,2,,,,,Female,0,0,40,Non-US,<=50K
50s,,,2,,,,,Female,0,0,40,Non-US,<=50K
30s,,,3,Married-civ-spouse,,,,Female,0,0,40,Non-US,<=50K
30s,,,3,Married-civ-spouse,,,,Female,0,0,40,Non-US,<=50K
30s,,,3,Married-civ-spouse,,,,Female,0,0,40,Non-US,<=50K
30s,,,2,Married-civ-spouse,,,,Female,0,0,40,Non-US,<=50K
20s,,,3,Never-married,,,,Female,0,0,40,Non-US,<=50K
20s,,,3,Never-married,,,,Female,0,0,40,Non-US,<=50K
20s,,,3,Never-married,,,,Female,0,0,40,Non-US,<=50K
30s,,,2,Never-married,,,,Female,0,0,40,Non-US,<=50K
30s,,,1,Never-married,,,,Female,0,0,40,Non-US,<=50K
30s,,,1,Never-married,,,,Female,0,0,40,Non-US,<=50K
30s,,,3,Never-married,,,,Female,0,0,40,Non-US,<=50K
30s,,,2,Never-married,,,,Female,0,0,40,Non-US,<=50K
40s,,,3,,,,,Female,0,0,40+,Non-US,<=50K
40s,,,3,,,,,Female,0,0,40+,Non-US,<=50K
40s,,,2,,,,,Female,0,0,40+,Non-US,<=50K
40s,,,2,,,,,Female,0,0,40+,Non-US,<=50K
40s,,,2,,,,,Female,0,0,40+,Non-US,<=50K
40s,,,4,,,,,Female,0,0,40+,Non-US,<=50K
50s,,,2,,,,,Female,0,0,40+,Non-US,<=50K
50s,,,2,,,,,Female,0,0,40+,Non-US,<=50K
50s,,,2,,,,,Female,0,0,40+,Non-US,<=50K
50s,,,2,,,,,Female,0,0,40+,Non-US,<=50K
50s,,,3,,,,,Female,0,0,40+,Non-US,<=50K
50s,,,3,Married-civ-spouse,,,,Female,0,2057,40+,Non-US,<=50K
50s,,,2,Married-civ-spouse,,,,Female,0,0,40+,Non-US,<=50K
50s,,,3,Married-civ-spouse,,,,Female,0,0,40+,Non-US,<=50K
20s,,,2,,,,,Female,0,0,<40,Non-US,<=50K
20s,,,2,,,,,Female,0,0,<40,Non-US,<=50K
20s,,,4,,,,,Female,0,0,<40,Non-US,<=50K
20s,,,4,,,,,Female,0,0,<40,Non-US,<=50K
20s,,,3,,,,,Female,0,0,<40,Non-US,<=50K
20s,,,2,,,,,Female,0,0,<40,Non-US,<=50K
20s,,,2,,,,,Female,4508,0,<40,Non-US,<=50K
30s,,,3,,,,,Female,0,0,<40,Non-US,<=50K
30s,,,3,,,,,Female,0,0,<40,Non-US,<=50K
30s,,,2,,,,,Female,0,0,<40,Non-US,<=50K
30s,,,2,,,,,Female,0,0,<40,Non-US,<=50K
40s,,,2,,,,,Female,0,0,<40,Non-US,<=50K
40s,,,2,,,,,Female,0,0,<40,Non-US,<=50K
40s,,,3,,,,,Female,594,0,<40,Non-US,<=50K
17-20,,,2,Never-married,,,,Female,0,0,<40,Non-US,<=50K
17-20,,,3,Never-married,,,,Female,0,0,<40,Non-US,<=50K
17-20,,,3,Never-married,,,,Female,0,0,<40,Non-US,<=50K
17-20,,,2,Never-married,,,,Female,0,0,<40,Non-US,<=50K
20s,,,3,,,,,Male,0,0,40,Non-US,<=50K
20s,,,2,,,,,Male,0,0,40,Non-US,<=50K
20s,,,2,,,,,Male,0,0,40,Non-US,<=50K
20s,,,1,,,,,Male,0,0,40,Non-US,<=50K
20s,,,3,,,,,Male,0,0,40,Non-US,<=50K
30s,,,3,,,,,Male,0,2258,40,Non-US,<=50K
30s,,,3,,,,,Male,0,1741,40,Non-US,<=50K
30s,,,1,,,,,Male,0,0,40,Non-US,<=50K
30s,,,2,,,,,Male,0,0,40,Non-US,<=50K
40s,,,3,,,,,Male,0,0,40,Non-US,<=50K
40s,,,2,,,,,Male,0,0,40,Non-US,<=50K
40s,,,3,,,,,Male,0,1590,40,Non-US,<=50K
40s,,,3,,,,,Male,0,2080,40,Non-US,<=50K
40s,,,4,,,,,Male,0,0,40,Non-US,<=50K
40s,,,2,,,,,Male,0,0,40,Non-US,<=50K
50s,,,3,,,,,Male,0,0,40,Non-US,<=50K
50s,,,2,,,,,Male,0,0,40,Non-US,<=50K
50s,,,3,,,,,Male,0,0,40,Non-US,<=50K
60s,,,1,,,,,Male,0,0,40,Non-US,<=50K
60s,,,1,,,,,Male,0,0,40,Non-US,<=50K
60s,,,2,,,,,Male,0,0,40,Non-US,<=50K
30s,,,4,Married-civ-spouse,,,,Male,0,0,40,Non-US,<=50K
30s,,,2,Married-civ-spouse,,,,Male,0,0,40,Non-US,<=50K
30s,,,1,Married-civ-spouse,,,,Male,0,0,40,Non-US,<=50K
30s,,,2,Married-civ-spouse,,,,Male,0,0,40,Non-US,<=50K
50s,,,4,Married-civ-spouse,,,,Male,2885,0,40,Non-US,<=50K
50s,,,3,Married-civ-spouse,,,,Male,0,0,40,Non-US,<=50K
50s,,,4,Married-civ-spouse,,,,Male,0,0,40,Non-US,<=50K
60s,,,4,Married-civ-spouse,,,,Male,0,0,40,Non-US,<=50K
60s,,,3,Married-civ-spouse,,,,Male,0,0,40,Non-US,<=50K
60s,,,1,Married-civ-spouse,,,,Male,0,0,40,Non-US,<=50K
70+,,,2,Married-civ-spouse,,,,Male,0,2457,40,Non-US,<=50K
70+,,,2,Married-civ-spouse,,,,Male,0,0,40,Non-US,<=50K
70+,,,2,Married-civ-spouse,,,,Male,0,0,40,Non-US,<=50K
70+,,,2,Married-civ-spouse,,,,Male,3471,0,40,Non-US,<=50K
20s,,,3,Never-married,,,,Male,0,0,40,Non-US,<=50K
20s,,,3,Never-married,,,,Male,0,0,40,Non-US,<=50K
20s,,,2,Never-married,,,,Male,0,0,40,Non-US,<=50K
50s,,,2,Never-married,,,,Male,0,0,40,Non-US,<=50K
50s,,,2,Never-married,,,,Male,0,0,40,Non-US,<=50K
50s,,,2,Never-married,,,,Male,0,0,40,Non-US,<=50K
30s,,,3,,,,,Male,0,0,40+,Non-US,<=50K
30s,,,3,,,,,Male,0,0,40+,Non-US,<=50K
30s,,,3,,,,,Male,0,0,40+,Non-US,<=50K
30s,,,3,,,,,Male,0,0,40+,Non-US,<=50K
40s,,,3,,,,,Male,0,0,40+,Non-US,<=50K
40s,,,3,,,,,Male,0,0,40+,Non-US,<=50K
40s,,,2,,,,,Male,0,0,40+,Non-US,<=50K
40s,,,3,,,,,Male,0,0,40+,Non-US,<=50K
40s,,,4,,,,,Male,0,0,40+,Non-US,<=50K
50s,,,2,,,,,Male,0,0,40+,Non-US,<=50K
50s,,,4,,,,,Male,0,0,40+,Non-US,<=50K
50s,,,1,,,,,Male,0,0,40+,Non-US,<=50K
20s,,,3,Married-civ-spouse,,,,Male,0,0,40+,Non-US,<=50K
20s,,,4,Married-civ-spouse,,,,Male,0,0,40+,Non-US,<=50K
20s,,,2,Married-civ-spouse,,,,Male,0,0,40+,Non-US,<=50K
20s,,,2,Married-civ-spouse,,,,Male,0,0,40+,Non-US,<=50K
30s,,,3,Married-civ-spouse,,,,Male,0,0,40+,Non-US,<=50K
30s,,,4,Married-civ-spouse,,,,Male,0,0,40+,Non-US,<=50K
30s,,,4,Married-civ-spouse,,,,Male,0,0,40+,Non-US,<=50K
50s,,,3,Married-civ-spouse,,,,Male,0,0,40+,Non-US,<=50K
50s,,,2,Married-civ-spouse,,,,Male,3411,0,40+,Non-US,<=50K
50s,,,2,Married-civ-spouse,,,,Male,0,0,40+,Non-US,<=50K
20s,,,3,Never-married,,,,Male,0,0,40+,Non-US,<=50K
20s,,,4,Never-married,,,,Male,2463,0,40+,Non-US,<=50K
20s,,,2,Never-married,,,,Male,0,0,40+,Non-US,<=50K
20s,,,2,Never-married,,,,Male,0,0,40+,Non-US,<=50K
20s,,,1,Never-married,,,,Male,0,0,40+,Non-US,<=50K
40s,,,2,Never-married,,,,Male,0,0,40+,Non-US,<=50K
40s,,,1,Never-married,,,,Male,0,0,40+,Non-US,<=50K
40s,,,2,Never-married,,,,Male,0,0,40+,Non-US,<=50K
30s,,,2,,,,,Male,0,0,<40,Non-US,<=50K
30s,,,3,,,,,Male,0,0,<40,Non-US,<=50K
30s,,,2,,,,,Male,0,0,<40,Non-US,<=50K
30s,,,4,,,,,Male,0,0,<40,Non-US,<=50K
30s,,,2,,,,,Male,0,0,<40,Non-US,<=50K
40s,,,3,,,,,Male,0,0,<40,Non-US,<=50K
40s,,,2,,,,,Male,0,0,<40,Non-US,<=50K
40s,,,2,,,,,Male,0,0,<40,Non-US,<=50K
50s,,,2,Divorced,,,,Male,0,0,<40,Non-US,<=50K
50s,,,1,Divorced,,,,Male,0,0,<40,Non-US,<=50K
50s,,,2,Divorced,,,,Male,0,0,<40,Non-US,<=50K
50s,,,1,Divorced,,,,Male,0,0,<40,Non-US,<=50K
60s,,,4,Married-civ-spouse,,,,Male,0,1648,<40,Non-US,<=50K
60s,,,3,Married-civ-spouse,,,,Male,0,0,<40,Non-US,<=50K
60s,,,3,Married-civ-spouse,,,,Male,0,0,<40,Non-US,<=50K
60s,,,2,Married-civ-spouse,,,,Male,0,0,<40,Non-US,<=50K
17-20,,,2,Never-married,,,,Male,0,0,<40,Non-US,<=50K
17-20,,,3,Never-married,,,,Male,0,0,<40,Non-US,<=50K
17-20,,,2,Never-married,,,,Male,0,0,<40,Non-US,<=50K
20s,,,3,Never-married,,,,Male,0,0,<40,Non-US,<=50K
20s,,,3,Never-married,,,,Male,0,0,<40,Non-US,<=50K
20s,,,3,Never-married,,,,Male,0,0,<40,Non-US,<=50K
20s,,,3,Never-married,,,,Male,0,0,<40,Non-US,<=50K
17-20,,,2,,,,,Female,0,0,40,United-States,<=50K
17-20,,,2,,,,,Female,3103,0,40,United-States,<=50K
17-20,,,2,,,,,Female,0,0,40,United-States,<=50K
17-20,,,3,,,,,Female,0,0,40,United-States,<=50K
17-20,,,2,,,,,Female,0,0,40,United-States,<=50K
20s,,,2,,,,,Female,0,0,40,United-States,<=50K
20s,,,2,,,,,Female,0,0,40,United-States,<=50K
20s,,,2,,,,,Female,0,0,40,United-States,<=50K
40s,,,2,,,,,Female,0,0,40,United-States,<=50K
40s,,,2,,,,,Female,0,0,40,United-States,<=50K
40s,,,3,,,,,Female,0,0,40,United-States,<=50K
40s,,,2,,,,,Female,0,0,40,United-States,<=50K
50s,,,3,,,,,Female,0,0,40,United-States,<=50K
50s,,,3,,,,,Female,0,0,40,United-States,<=50K
50s,,,4,,,,,Female,0,0,40,United-States,<=50K
50s,,,3,,,,,Female,0,0,40,United-States,<=50K
70+,,,2,,,,,Female,2964,0,40,United-States,<=50K
70+,,,1,,,,,Female,0,0,40,United-States,<=50K
70+,,,4,,,,,Female,0,0,40,United-States,<=50K
70+,,,2,,,,,Female,2653,0,40,United-States,<=50K
30s,,,3,Divorced,,,,Female,0,0,40,United-States,<=50K
30s,,,3,Divorced,,,,Female,0,0,40,United-States,<=50K
