age,workclass,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
20s,,3,,,,,,0,0,40,,
20s,,3,,,,,,0,0,40,,
20s,,2,,,,,,0,0,40,,
20s,,1,,,,,,0,0,40,,
20s,,3,,,,,,0,0,40,,
20s,,2,,,,,,14344,0,40,,
20s,,2,,,,,,0,0,40,,
20s,,2,,,,,,0,0,40,,
20s,,3,,,,,,0,0,40,,
20s,,2,,,,,,0,0,40,,
20s,,3,,,,,,0,0,40,,
20s,,4,,,,,,0,0,40,,
20s,,2,,,,,,99999,0,40,,
30s,,3,,,,,,0,0,40,,
30s,,3,,,,,,0,0,40,,
30s,,3,,,,,,0,0,40,,
30s,,3,,,,,,0,0,40,,
30s,,3,,,,,,0,0,40,,
30s,,3,,,,,,0,0,40,,
30s,,2,,,,,,8614,0,40,,
30s,,4,,,,,,25236,0,40,,
30s,,3,,,,,,0,0,40,,
30s,,3,,,,,,0,0,40,,
30s,,3,,,,,,0,0,40,,
30s,,3,,,,,,0,0,40,,
30s,,3,,,,,,7430,0,40,,
30s,,2,,,,,,0,0,40,,
30s,,3,,,,,,0,0,40,,
30s,,4,,,,,,0,0,40,,
30s,,3,,,,,,0,0,40,,
30s,,3,,,,,,0,0,40,,
30s,,3,,,,,,10520,0,40,,
40s,,3,,,,,,0,0,40,,
40s,,4,,,,,,15020,0,40,,
40s,,3,,,,,,0,0,40,,
40s,,3,,,,,,0,0,40,,
40s,,3,,,,,,10520,0,40,,
40s,,2,,,,,,0,2231,40,,
40s,,3,,,,,,0,0,40,,
40s,,3,,,,,,0,0,40,,
40s,,3,,,,,,13550,0,40,,
40s,,2,,,,,,0,0,40,,
50s,,3,,,,,,0,0,40,,
50s,,2,,,,,,0,0,40,,
50s,,2,,,,,,0,0,40,,
50s,,2,,,,,,0,0,40,,
50s,,3,,,,,,0,1887,40,,
50s,,4,,,,,,0,0,40,,
50s,,2,,,,,,0,0,40,,
50s,,4,,,,,,27828,0,40,,
50s,,3,,,,,,0,0,40,,
