NodeID,age,education-num,capital-gain,capital-loss,hours-per-week
0,39,13,2174,0,40
1,50,13,0,0,13
2,38,9,0,0,40
3,53,7,0,0,40
4,28,13,0,0,40
5,37,14,0,0,40
6,49,5,0,0,16
7,52,9,0,0,45
8,31,14,14084,0,50
9,42,13,5178,0,40
10,37,10,0,0,80
11,30,13,0,0,40
12,23,13,0,0,30
13,32,12,0,0,50
14,34,4,0,0,45
15,25,9,0,0,35
16,32,9,0,0,40
17,38,7,0,0,50
18,43,14,0,0,45
19,40,16,0,0,60
20,54,9,0,0,20
21,35,5,0,0,40
22,43,7,0,2042,40
23,59,9,0,0,40
24,56,13,0,0,40
25,19,9,0,0,40
26,39,9,0,0,80
27,49,9,0,0,40
28,23,12,0,0,52
29,20,10,0,0,44
30,45,13,0,1408,40
31,30,10,0,0,40
32,22,10,0,0,15
33,48,7,0,0,40
34,21,10,0,0,40
35,19,9,0,0,25
36,48,12,0,0,40
37,31,5,0,0,43
38,53,13,0,0,40
39,24,13,0,0,50
40,49,9,0,0,40
41,25,9,0,0,35
42,57,13,0,0,40
43,53,9,0,0,38
44,44,14,0,0,40
45,41,11,0,0,40
46,29,11,0,0,43
47,25,10,0,0,40
48,47,15,0,1902,60
49,50,13,0,0,55
50,47,9,0,0,60
51,43,10,0,0,40
52,46,3,0,0,40
53,35,11,0,0,40
54,41,9,0,0,48
55,30,9,5013,0,40
56,30,13,2407,0,40
57,48,9,0,0,40
58,42,16,0,0,45
59,29,10,0,0,58
60,36,9,0,0,40
61,28,10,0,0,40
62,53,9,0,0,40
63,49,10,0,0,50
64,19,10,0,0,32
65,31,13,0,0,40
66,29,13,0,0,70
67,23,10,0,0,40
68,79,10,0,0,20
69,27,9,0,0,40
70,40,12,0,0,40
71,18,7,0,0,22
72,31,4,0,0,40
73,18,9,0,0,30
74,52,13,0,0,40
75,46,9,0,0,40
76,59,9,0,0,48
77,44,9,14344,0,40
78,53,9,0,0,35
79,49,9,0,0,40
80,33,14,0,0,50
81,30,5,0,0,40
82,43,16,0,0,50
83,57,11,0,0,40
84,37,10,0,0,40
85,28,10,0,0,25
86,34,13,0,0,40
87,29,10,0,0,50
88,48,16,0,1902,60
89,37,10,0,0,48
90,48,12,0,0,40
91,32,9,0,0,40
92,76,14,0,0,40
93,44,13,15024,0,60
94,47,14,0,0,50
95,20,10,0,0,40
96,29,9,0,0,40
97,32,9,7688,0,40
98,30,7,0,0,40
99,31,9,0,0,40
100,42,9,0,0,40
101,24,13,0,0,40
102,38,15,0,0,40
103,56,9,0,1887,50
104,28,10,4064,0,25
105,36,9,0,0,40
106,53,5,0,0,50
107,56,10,0,0,50
108,49,11,0,0,40
109,55,10,0,0,56
110,22,9,0,0,41
111,21,10,0,0,40
112,40,13,0,0,60
113,30,13,0,0,40
114,29,13,0,0,50
115,19,10,0,0,35
116,47,13,0,0,40
117,20,10,0,1719,28
118,31,12,0,0,40
119,39,10,0,0,40
120,28,12,0,0,60
121,24,9,0,1762,40
122,38,9,4386,0,35
123,37,13,0,0,50
124,46,12,0,0,36
125,38,14,0,0,40
126,43,9,0,0,60
127,27,11,0,0,35
128,20,10,0,0,20
129,49,10,0,0,40
130,61,9,0,0,40
131,27,10,0,0,40
132,19,10,0,0,30
133,45,11,0,1564,40
134,70,10,0,0,40
135,31,9,0,0,30
136,22,10,0,0,24
137,36,9,0,0,24
138,64,7,0,2179,40
139,47,10,0,0,38
140,34,9,0,0,40
141,33,13,0,0,40
142,21,9,0,0,35
143,48,9,0,0,46
144,23,13,0,0,40
145,71,10,0,1816,2
146,29,9,0,0,60
147,42,13,0,0,50
148,25,9,0,0,40
149,44,14,0,0,40
150,28,9,0,0,40
151,45,14,0,0,40
152,36,10,0,0,40
153,39,12,0,0,42
154,46,14,0,0,40
155,18,7,0,0,16
156,66,11,0,0,20
157,27,9,0,1980,40
158,28,9,0,0,40
159,51,10,0,1977,40
160,27,13,0,0,50
161,28,13,0,0,40
162,27,9,0,0,25
163,21,9,0,0,40
164,34,9,0,0,40
165,18,9,0,0,12
166,33,13,0,0,65
167,44,10,0,0,38
168,43,10,0,0,40
169,30,10,0,0,45
170,40,4,0,0,40
171,37,10,0,0,42
172,34,9,0,0,40
173,41,13,0,0,40
174,31,14,0,0,50
175,58,16,0,0,1
176,38,10,0,0,28
177,24,10,0,0,40
178,41,13,0,0,40
179,47,10,0,0,45
180,41,13,0,0,24
181,23,3,0,0,40
182,36,10,0,0,40
183,40,14,14084,0,55
184,35,14,7298,0,40
185,24,9,0,0,40
186,26,14,0,1876,40
187,51,13,0,0,50
188,42,10,0,1340,40
189,37,9,0,0,35
190,18,7,0,0,40
191,36,13,7298,0,36
192,35,9,0,0,60
193,58,9,15024,0,35
194,17,7,0,0,12
195,44,9,0,0,40
196,37,9,0,0,40
197,35,10,0,0,40
198,60,9,0,0,40
199,54,4,0,0,40
200,37,13,0,0,60
201,50,12,0,0,40
202,38,13,0,0,50
203,45,13,0,0,55
204,25,6,0,0,40
205,31,10,0,0,40
206,90,9,0,2206,40
207,54,9,0,0,20
208,53,1,0,0,35
209,18,9,0,0,40
210,66,9,1409,0,50
211,75,11,0,0,20
212,65,9,0,0,40
213,35,7,3674,0,40
214,41,9,0,0,38
215,25,10,0,0,42
216,33,10,0,0,40
217,28,15,0,0,55
218,59,9,0,0,40
219,40,10,0,0,38
220,41,13,0,0,50
221,38,14,0,0,70
222,23,9,0,0,40
223,40,13,0,0,40
224,41,9,0,0,20
225,24,12,0,0,50
226,38,10,0,1741,40
227,58,9,0,0,45
228,32,9,0,0,34
229,40,12,0,1977,60
230,41,15,0,0,40
231,42,13,0,0,40
232,59,6,0,0,30
233,19,10,0,0,40
234,58,10,0,0,20
235,42,9,0,0,40
236,20,9,0,0,40
237,32,9,0,0,30
238,45,11,0,0,45
239,50,4,0,0,40
240,36,13,0,0,40
241,45,9,0,0,60
242,17,7,0,0,12
243,59,10,4064,0,40
244,26,7,0,0,40
245,37,10,0,0,75
246,64,9,0,0,40
247,33,13,0,0,45
248,33,9,0,0,40
249,61,9,0,0,40
250,17,5,1055,0,24
251,50,14,2407,0,98
252,27,14,0,0,35
253,30,9,0,0,40
254,43,9,0,0,40
255,44,10,7298,0,40
256,35,10,0,0,40
257,25,10,0,0,40
258,24,10,7298,0,48
