age,education-num,capital-gain,capital-loss,hours-per-week
39,13,2174,0,40
50,13,0,0,13
38,9,0,0,40
53,7,0,0,40
28,13,0,0,40
37,14,0,0,40
49,5,0,0,16
52,9,0,0,45
31,14,14084,0,50
42,13,5178,0,40
37,10,0,0,80
30,13,0,0,40
23,13,0,0,30
32,12,0,0,50
34,4,0,0,45
25,9,0,0,35
32,9,0,0,40
38,7,0,0,50
43,14,0,0,45
40,16,0,0,60
54,9,0,0,20
35,5,0,0,40
43,7,0,2042,40
59,9,0,0,40
56,13,0,0,40
19,9,0,0,40
39,9,0,0,80
49,9,0,0,40
23,12,0,0,52
20,10,0,0,44
45,13,0,1408,40
30,10,0,0,40
22,10,0,0,15
48,7,0,0,40
21,10,0,0,40
19,9,0,0,25
48,12,0,0,40
31,5,0,0,43
53,13,0,0,40
24,13,0,0,50
49,9,0,0,40
25,9,0,0,35
57,13,0,0,40
53,9,0,0,38
44,14,0,0,40
41,11,0,0,40
29,11,0,0,43
25,10,0,0,40
47,15,0,1902,60
50,13,0,0,55
47,9,0,0,60
43,10,0,0,40
46,3,0,0,40
35,11,0,0,40
41,9,0,0,48
30,9,5013,0,40
30,13,2407,0,40
48,9,0,0,40
42,16,0,0,45
29,10,0,0,58
36,9,0,0,40
28,10,0,0,40
53,9,0,0,40
49,10,0,0,50
19,10,0,0,32
31,13,0,0,40
29,13,0,0,70
23,10,0,0,40
79,10,0,0,20
27,9,0,0,40
40,12,0,0,40
18,7,0,0,22
31,4,0,0,40
18,9,0,0,30
52,13,0,0,40
46,9,0,0,40
59,9,0,0,48
44,9,14344,0,40
53,9,0,0,35
49,9,0,0,40
33,14,0,0,50
30,5,0,0,40
43,16,0,0,50
57,11,0,0,40
37,10,0,0,40
28,10,0,0,25
34,13,0,0,40
29,10,0,0,50
48,16,0,1902,60
37,10,0,0,48
48,12,0,0,40
32,9,0,0,40
76,14,0,0,40
44,13,15024,0,60
47,14,0,0,50
20,10,0,0,40
29,9,0,0,40
32,9,7688,0,40
30,7,0,0,40
31,9,0,0,40
42,9,0,0,40
24,13,0,0,40
38,15,0,0,40
56,9,0,1887,50
28,10,4064,0,25
36,9,0,0,40
53,5,0,0,50
56,10,0,0,50
49,11,0,0,40
55,10,0,0,56
22,9,0,0,41
21,10,0,0,40
40,13,0,0,60
30,13,0,0,40
29,13,0,0,50
19,10,0,0,35
47,13,0,0,40
20,10,0,1719,28
31,12,0,0,40
39,10,0,0,40
28,12,0,0,60
24,9,0,1762,40
38,9,4386,0,35
37,13,0,0,50
46,12,0,0,36
38,14,0,0,40
43,9,0,0,60
27,11,0,0,35
20,10,0,0,20
49,10,0,0,40
61,9,0,0,40
27,10,0,0,40
19,10,0,0,30
45,11,0,1564,40
70,10,0,0,40
31,9,0,0,30
22,10,0,0,24
36,9,0,0,24
64,7,0,2179,40
47,10,0,0,38
34,9,0,0,40
33,13,0,0,40
21,9,0,0,35
48,9,0,0,46
23,13,0,0,40
71,10,0,1816,2
29,9,0,0,60
42,13,0,0,50
25,9,0,0,40
44,14,0,0,40
28,9,0,0,40
45,14,0,0,40
36,10,0,0,40
39,12,0,0,42
46,14,0,0,40
18,7,0,0,16
66,11,0,0,20
27,9,0,1980,40
28,9,0,0,40
51,10,0,1977,40
27,13,0,0,50
28,13,0,0,40
27,9,0,0,25
21,9,0,0,40
34,9,0,0,40
18,9,0,0,12
33,13,0,0,65
44,10,0,0,38
43,10,0,0,40
30,10,0,0,45
40,4,0,0,40
37,10,0,0,42
34,9,0,0,40
41,13,0,0,40
31,14,0,0,50
58,16,0,0,1
38,10,0,0,28
24,10,0,0,40
41,13,0,0,40
47,10,0,0,45
41,13,0,0,24
23,3,0,0,40
36,10,0,0,40
40,14,14084,0,55
35,14,7298,0,40
24,9,0,0,40
26,14,0,1876,40
51,13,0,0,50
42,10,0,1340,40
37,9,0,0,35
18,7,0,0,40
36,13,7298,0,36
35,9,0,0,60
58,9,15024,0,35
17,7,0,0,12
44,9,0,0,40
37,9,0,0,40
35,10,0,0,40
60,9,0,0,40
54,4,0,0,40
37,13,0,0,60
50,12,0,0,40
38,13,0,0,50
45,13,0,0,55
25,6,0,0,40
31,10,0,0,40
90,9,0,2206,40
54,9,0,0,20
53,1,0,0,35
18,9,0,0,40
66,9,1409,0,50
75,11,0,0,20
65,9,0,0,40
35,7,3674,0,40
41,9,0,0,38
25,10,0,0,42
33,10,0,0,40
28,15,0,0,55
59,9,0,0,40
40,10,0,0,38
41,13,0,0,50
38,14,0,0,70
23,9,0,0,40
40,13,0,0,40
41,9,0,0,20
24,12,0,0,50
38,10,0,1741,40
58,9,0,0,45
32,9,0,0,34
40,12,0,1977,60
41,15,0,0,40
42,13,0,0,40
59,6,0,0,30
19,10,0,0,40
58,10,0,0,20
42,9,0,0,40
20,9,0,0,40
32,9,0,0,30
45,11,0,0,45
50,4,0,0,40
36,13,0,0,40
45,9,0,0,60
17,7,0,0,12
59,10,4064,0,40
26,7,0,0,40
37,10,0,0,75
64,9,0,0,40
33,13,0,0,45
33,9,0,0,40
61,9,0,0,40
17,5,1055,0,24
50,14,2407,0,98
27,14,0,0,35
30,9,0,0,40
43,9,0,0,40
44,10,7298,0,40
35,10,0,0,40
25,10,0,0,40
24,10,7298,0,48
22,13,0,0,15
42,10,5178,0,40
34,12,0,0,45
60,13,0,0,42
21,9,0,0,40
57,14,15024,0,40
41,15,0,0,60
50,10,0,0,45
25,13,0,0,40
50,4,0,0,40
36,13,0,0,45
31,9,0,0,40
29,13,0,0,56
21,10,0,0,45
27,13,0,0,40
65,9,0,0,16
37,13,0,0,60
24,9,0,0,40
38,9,0,0,80
48,13,7688,0,40
21,10,0,0,25
31,9,0,0,45
55,9,4386,0,40
24,10,0,0,40
43,9,0,0,40
26,12,0,0,45
46,12,0,0,33
35,12,0,0,40
41,10,0,0,54
26,13,0,0,40
34,14,7298,0,35
36,13,0,0,40
22,10,0,0,15
24,10,0,0,40
77,10,0,0,40
22,3,0,0,40
29,10,0,0,40
62,9,0,0,24
39,9,0,0,40
43,10,0,1485,50
35,9,0,0,45
29,7,0,0,40
76,14,0,0,10
63,9,0,0,45
43,10,0,1887,50
58,9,0,0,40
66,9,2050,0,55
41,10,0,0,45
26,13,0,0,40
47,11,0,0,40
55,6,0,0,40
53,9,0,0,40
17,3,0,0,48
30,9,0,0,40
49,14,0,0,60
19,9,0,0,30
45,9,0,0,40
26,12,0,0,40
38,11,7298,0,40
36,9,7298,0,40
33,9,0,0,20
22,10,0,0,40
43,13,0,0,42
56,12,0,0,25
31,13,0,0,25
