age, workclass, education-num, marital-status, occupation, relationship, race, sex, capital-gain, capital-loss, hours-per-week, native-country, income
[22 - 44], gov, 3, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 2174], 0, [15 - 47], United-States, <=50K
[22 - 44], gov, 3, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 2174], 0, [15 - 47], United-States, <=50K
[22 - 44], gov, 3, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 2174], 0, [15 - 47], United-States, <=50K
[22 - 44], gov, 3, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 2174], 0, [15 - 47], United-States, <=50K
[22 - 44], gov, 3, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 2174], 0, [15 - 47], United-States, <=50K
[22 - 44], gov, 3, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 2174], 0, [15 - 47], United-States, <=50K
[22 - 44], gov, 3, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 2174], 0, [15 - 47], United-States, <=50K
[22 - 44], gov, 3, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 2174], 0, [15 - 47], United-States, <=50K
[22 - 44], gov, 3, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 2174], 0, [15 - 47], United-States, <=50K
[22 - 44], gov, 4, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 2174], 0, [15 - 47], United-States, <=50K
[22 - 44], gov, 3, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 2174], 0, [15 - 47], United-States, <=50K
[22 - 44], gov, 3, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 2174], 0, [15 - 47], United-States, <=50K
[22 - 44], gov, 2, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 2174], 0, [15 - 47], United-States, <=50K
[22 - 44], gov, 3, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 2174], 0, [15 - 47], United-States, <=50K
[22 - 44], gov, 2, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 2174], 0, [15 - 47], United-States, <=50K
[43 - 56], Self-emp-not-inc, 3, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, [13 - 40], United-States, <=50K
[43 - 56], Self-emp-not-inc, 3, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, [13 - 40], United-States, <=50K
[43 - 56], Self-emp-not-inc, 2, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, [13 - 40], United-States, <=50K
[43 - 56], Self-emp-not-inc, 2, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, [13 - 40], United-States, <=50K
[43 - 56], Self-emp-not-inc, 3, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, [13 - 40], United-States, <=50K
[43 - 56], Self-emp-not-inc, 2, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, [13 - 40], United-States, <=50K
[43 - 56], Self-emp-not-inc, 2, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, [13 - 40], United-States, <=50K
[43 - 56], Self-emp-not-inc, 3, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, [13 - 40], United-States, <=50K
[43 - 56], Self-emp-not-inc, 2, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, [13 - 40], United-States, <=50K
[43 - 56], Self-emp-not-inc, 2, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, [13 - 40], United-States, <=50K
[43 - 56], Self-emp-not-inc, 2, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, [13 - 40], United-States, <=50K
[43 - 56], Self-emp-not-inc, 4, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, [13 - 40], United-States, <=50K
[43 - 56], Self-emp-not-inc, 3, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, [13 - 40], United-States, <=50K
[43 - 56], Self-emp-not-inc, 2, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, [13 - 40], United-States, <=50K
[43 - 56], Self-emp-not-inc, 2, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, [13 - 40], United-States, <=50K
[28 - 40], Private, 2, Divorced, Handlers-cleaners, Not-in-family, White, Male, 0, 0, [40 - 43], United-States, <=50K
[28 - 40], Private, 3, Divorced, Handlers-cleaners, Not-in-family, White, Male, 0, 0, [40 - 43], United-States, <=50K
[28 - 40], Private, 2, Divorced, Handlers-cleaners, Not-in-family, White, Male, 0, 0, [40 - 43], United-States, <=50K
[28 - 40], Private, 3, Divorced, Handlers-cleaners, Not-in-family, White, Male, 0, 0, [40 - 43], United-States, <=50K
[28 - 40], Private, 2, Divorced, Handlers-cleaners, Not-in-family, White, Male, 0, 0, [40 - 43], United-States, <=50K
[28 - 40], Private, 2, Divorced, Handlers-cleaners, Not-in-family, White, Male, 0, 0, [40 - 43], United-States, <=50K
[28 - 40], Private, 2, Divorced, Handlers-cleaners, Not-in-family, White, Male, 0, 0, [40 - 43], United-States, <=50K
[28 - 40], Private, 3, Divorced, Handlers-cleaners, Not-in-family, White, Male, 0, 0, [40 - 43], United-States, <=50K
[28 - 40], Private, 2, Divorced, Handlers-cleaners, Not-in-family, White, Male, 0, 0, [40 - 43], United-States, <=50K
[28 - 40], Private, 2, Divorced, Handlers-cleaners, Not-in-family, White, Male, 0, 0, [40 - 43], United-States, <=50K
[28 - 40], Private, 2, Divorced, Handlers-cleaners, Not-in-family, White, Male, 0, 0, [40 - 43], United-States, <=50K
[28 - 40], Private, 2, Divorced, Handlers-cleaners, Not-in-family, White, Male, 0, 0, [40 - 43], United-States, <=50K
[28 - 40], Private, 2, Divorced, Handlers-cleaners, Not-in-family, White, Male, 0, 0, [40 - 43], United-States, <=50K
[28 - 40], Private, 2, Divorced, Handlers-cleaners, Not-in-family, White, Male, 0, 0, [40 - 43], United-States, <=50K
[28 - 40], Private, 2, Divorced, Handlers-cleaners, Not-in-family, White, Male, 0, 0, [40 - 43], United-States, <=50K
[38 - 54], Private, 2, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male, 0, 0, 40, United-States, <=50K
[38 - 54], Private, 3, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male, 0, 0, 40, United-States, <=50K
[38 - 54], Private, 2, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male, 0, 0, 40, United-States, <=50K
[38 - 54], Private, 2, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male, 0, 0, 40, United-States, <=50K
[38 - 54], Private, 2, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male, 0, 0, 40, United-States, <=50K
[38 - 54], Private, 2, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male, 0, 0, 40, United-States, <=50K
