age, workclass, education-num, marital-status, occupation, relationship, race, sex, capital-gain, capital-loss, hours-per-week, native-country, income
[22 - 55], gov, [9 - 14], Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 2174], 0, [15 - 47], United-States, <=50K
[22 - 55], gov, [9 - 14], Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 2174], 0, [15 - 47], United-States, <=50K
[22 - 55], gov, [9 - 14], Divorced, Adm-clerical, Not-in-family, White, Male, [0 - 2174], 0, [15 - 47], United-States, <=50K
[22 - 55], gov, [9 - 14], Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 2174], 0, [15 - 47], United-States, <=50K
[22 - 55], gov, [9 - 14], Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 2174], 0, [15 - 47], United-States, <=50K
[22 - 55], gov, [9 - 14], Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 2174], 0, [15 - 47], United-States, <=50K
[22 - 55], gov, [9 - 14], Married-spouse-absent, Adm-clerical, Not-in-family, White, Male, [0 - 2174], 0, [15 - 47], United-States, <=50K
[22 - 55], gov, [9 - 14], Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 2174], 0, [15 - 47], United-States, <=50K
[22 - 55], gov, [9 - 14], Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 2174], 0, [15 - 47], United-States, <=50K
[22 - 55], gov, [9 - 14], Widowed, Adm-clerical, Not-in-family, White, Male, [0 - 2174], 0, [15 - 47], United-States, <=50K
[22 - 55], gov, [9 - 14], Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 2174], 0, [15 - 47], United-States, <=50K
[22 - 55], gov, [9 - 14], Separated, Adm-clerical, Not-in-family, White, Male, [0 - 2174], 0, [15 - 47], United-States, <=50K
[22 - 55], gov, [9 - 14], Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 2174], 0, [15 - 47], United-States, <=50K
[22 - 55], gov, [9 - 14], Divorced, Adm-clerical, Not-in-family, White, Male, [0 - 2174], 0, [15 - 47], United-States, <=50K
[22 - 55], gov, [9 - 14], Divorced, Adm-clerical, Not-in-family, White, Male, [0 - 2174], 0, [15 - 47], United-States, <=50K
[22 - 55], gov, [9 - 14], Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 2174], 0, [15 - 47], United-States, <=50K
[22 - 55], gov, [9 - 14], Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 2174], 0, [15 - 47], United-States, <=50K
[22 - 55], gov, [9 - 14], Divorced, Adm-clerical, Not-in-family, White, Male, [0 - 2174], 0, [15 - 47], United-States, <=50K
[22 - 55], gov, [9 - 14], Divorced, Adm-clerical, Not-in-family, White, Male, [0 - 2174], 0, [15 - 47], United-States, <=50K
[22 - 55], gov, [9 - 14], Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 2174], 0, [15 - 47], United-States, <=50K
[22 - 55], gov, [9 - 14], Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 2174], 0, [15 - 47], United-States, <=50K
[22 - 55], gov, [9 - 14], Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 2174], 0, [15 - 47], United-States, <=50K
[22 - 55], gov, [9 - 14], Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 2174], 0, [15 - 47], United-States, <=50K
[27 - 52], Self-emp-not-inc, [10 - 13], Married-civ-spouse, Exec-managerial, Husband, White, Male, [0 - 3137], 0, [13 - 52], United-States, <=50K
[27 - 52], Self-emp-not-inc, [10 - 13], Married-civ-spouse, Exec-managerial, Husband, White, Male, [0 - 3137], 0, [13 - 52], United-States, <=50K
[27 - 52], Self-emp-not-inc, [10 - 13], Married-civ-spouse, Exec-managerial, Husband, White, Male, [0 - 3137], 0, [13 - 52], United-States, <=50K
