age, workclass, education-num, marital-status, occupation, relationship, race, sex, capital-gain, capital-loss, hours-per-week, native-country, income
[31 - 40], gov, 3, Never-married, Adm-clerical, Not-in-family, White, *, [0 - 2174], 0, [38 - 40], United-States, <=50K
[31 - 40], gov, 3, Never-married, Adm-clerical, Not-in-family, White, *, [0 - 2174], 0, [38 - 40], United-States, <=50K
[31 - 40], gov, 2, Never-married, Adm-clerical, Not-in-family, White, *, [0 - 2174], 0, [38 - 40], United-States, <=50K
[43 - 50], Self-emp-not-inc, 3, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, [13 - 35], United-States, <=50K
[43 - 50], Self-emp-not-inc, 2, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, [13 - 35], United-States, <=50K
[43 - 50], Self-emp-not-inc, 2, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, [13 - 35], United-States, <=50K
[38 - 43], Private, 2, Divorced, Nontechnical, Not-in-family, White, Male, 0, 0, [40 - 80], United-States, <=50K
[38 - 43], Private, 3, Divorced, Nontechnical, Not-in-family, White, Male, 0, 0, [40 - 80], United-States, <=50K
[38 - 43], Private, 2, Divorced, Nontechnical, Not-in-family, White, Male, 0, 0, [40 - 80], United-States, <=50K
[43 - 53], Private, 2, Married-civ-spouse, *, Husband, Black, Male, 0, 0, 40, United-States, <=50K
[43 - 53], Private, 2, Married-civ-spouse, *, Husband, Black, Male, 0, 0, 40, United-States, <=50K
[43 - 53], Private, 2, Married-civ-spouse, *, Husband, Black, Male, 0, 0, 40, United-States, <=50K
[28 - 38], Private, 3, Married-civ-spouse, *, Wife, Black, Female, 0, 0, 40, *, <=50K
[28 - 38], Private, 2, Married-civ-spouse, *, Wife, Black, Female, 0, 0, 40, *, <=50K
[28 - 38], Private, 3, Married-civ-spouse, *, Wife, Black, Female, 0, 0, 40, *, <=50K
[28 - 37], Private, 4, Married-civ-spouse, Nontechnical, Wife, White, Female, 0, 0, 40, United-States, <=50K
[28 - 37], Private, 2, Married-civ-spouse, Nontechnical, Wife, White, Female, 0, 0, 40, United-States, <=50K
[28 - 37], Private, 3, Married-civ-spouse, Nontechnical, Wife, White, Female, 0, 0, 40, United-States, <=50K
[32 - 49], Private, 2, *, Other-service, Not-in-family, Black, Female, 0, 0, [16 - 40], *, <=50K
[32 - 49], Private, 2, *, Other-service, Not-in-family, Black, Female, 0, 0, [16 - 40], *, <=50K
[32 - 49], Private, 2, *, Other-service, Not-in-family, Black, Female, 0, 0, [16 - 40], *, <=50K
[33 - 52], Self-emp-not-inc, 2, Married-civ-spouse, Nontechnical, Husband, White, Male, 0, 0, [40 - 45], United-States, >50K
[33 - 52], Self-emp-not-inc, 3, Married-civ-spouse, Nontechnical, Husband, White, Male, 0, 0, [40 - 45], United-States, >50K
[33 - 52], Self-emp-not-inc, 4, Married-civ-spouse, Nontechnical, Husband, White, Male, 0, 0, [40 - 45], United-States, >50K
[31 - 49], Private, 4, Never-married, *, Not-in-family, White, Female, [0 - 14084], 0, [50 - 56], United-States, >50K
