age, workclass, education-num, marital-status, occupation, relationship, race, sex, capital-gain, capital-loss, hours-per-week, native-country, income
[22 - 40], *, 3, Never-married, Adm-clerical, Not-in-family, White, *, [0 - 2174], 0, [38 - 42], United-States, <=50K
[22 - 40], *, 3, Never-married, Adm-clerical, Not-in-family, White, *, [0 - 2174], 0, [38 - 42], United-States, <=50K
[22 - 40], *, 2, Never-married, Adm-clerical, Not-in-family, White, *, [0 - 2174], 0, [38 - 42], United-States, <=50K
[22 - 40], *, 2, Never-married, Adm-clerical, Not-in-family, White, *, [0 - 2174], 0, [38 - 42], United-States, <=50K
[22 - 40], *, 3, Never-married, Adm-clerical, Not-in-family, White, *, [0 - 2174], 0, [38 - 42], United-States, <=50K
[22 - 40], *, 3, Never-married, Adm-clerical, Not-in-family, White, *, [0 - 2174], 0, [38 - 42], United-States, <=50K
[22 - 40], *, 3, Never-married, Adm-clerical, Not-in-family, White, *, [0 - 2174], 0, [38 - 42], United-States, <=50K
[22 - 40], *, 3, Never-married, Adm-clerical, Not-in-family, White, *, [0 - 2174], 0, [38 - 42], United-States, <=50K
[39 - 81], self, 3, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, [13 - 60], United-States, <=50K
[39 - 81], self, 2, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, [13 - 60], United-States, <=50K
[39 - 81], self, 2, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, [13 - 60], United-States, <=50K
[39 - 81], self, 2, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, [13 - 60], United-States, <=50K
[39 - 81], self, 3, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, [13 - 60], United-States, <=50K
[39 - 81], self, 2, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, [13 - 60], United-States, <=50K
[39 - 81], self, 2, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, [13 - 60], United-States, <=50K
[39 - 81], self, 3, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, [13 - 60], United-States, <=50K
[38 - 43], Private, 2, Divorced, *, Not-in-family, White, Male, 0, 0, [40 - 80], United-States, <=50K
[38 - 43], Private, 3, Divorced, *, Not-in-family, White, Male, 0, 0, [40 - 80], United-States, <=50K
[38 - 43], Private, 2, Divorced, *, Not-in-family, White, Male, 0, 0, [40 - 80], United-States, <=50K
[38 - 43], Private, 2, Divorced, *, Not-in-family, White, Male, 0, 0, [40 - 80], United-States, <=50K
[38 - 43], Private, 3, Divorced, *, Not-in-family, White, Male, 0, 0, [40 - 80], United-States, <=50K
[38 - 43], Private, 3, Divorced, *, Not-in-family, White, Male, 0, 0, [40 - 80], United-States, <=50K
[38 - 43], Private, 3, Divorced, *, Not-in-family, White, Male, 0, 0, [40 - 80], United-States, <=50K
[38 - 43], Private, 3, Divorced, *, Not-in-family, White, Male, 0, 0, [40 - 80], United-States, <=50K
[34 - 53], Private, 2, Married-civ-spouse, *, Husband, Black, Male, 0, 0, [40 - 50], United-States, <=50K
[34 - 53], Private, 2, Married-civ-spouse, *, Husband, Black, Male, 0, 0, [40 - 50], United-States, <=50K
[34 - 53], Private, 2, Married-civ-spouse, *, Husband, Black, Male, 0, 0, [40 - 50], United-States, <=50K
[34 - 53], Private, 2, Married-civ-spouse, *, Husband, Black, Male, 0, 0, [40 - 50], United-States, <=50K
[34 - 53], Private, 2, Married-civ-spouse, *, Husband, Black, Male, 0, 0, [40 - 50], United-States, <=50K
[34 - 53], Private, 2, Married-civ-spouse, *, Husband, Black, Male, 0, 0, [40 - 50], United-States, <=50K
[34 - 53], Private, 2, Married-civ-spouse, *, Husband, Black, Male, 0, 0, [40 - 50], United-States, <=50K
