age, workclass, native-country, sex, race, marital-status, income
[23 - 39], [12 - 13], [0 - 2174], 0, [40 - 56], gov, United-States, Male, White, Not-in-family, Other, Never-married, <=50K
[23 - 39], [12 - 13], [0 - 2174], 0, [40 - 56], gov, United-States, Male, White, Not-in-family, Other, Never-married, <=50K
[23 - 39], [12 - 13], [0 - 2174], 0, [40 - 56], gov, United-States, Male, White, Not-in-family, Other, Never-married, <=50K
[39 - 52], [9 - 13], 0, 0, [13 - 45], Self-emp-not-inc, United-States, Male, White, Husband, Exec-managerial, Married-civ-spouse, <=50K
[39 - 52], [9 - 13], 0, 0, [13 - 45], Self-emp-not-inc, United-States, Male, White, Husband, Exec-managerial, Married-civ-spouse, >50K
[39 - 52], [9 - 13], 0, 0, [13 - 45], Self-emp-not-inc, United-States, Male, White, Husband, Exec-managerial, Married-civ-spouse, <=50K
[38 - 39], 9, 0, 0, [40 - 80], Private, United-States, Male, White, Not-in-family, Nontechnical, Divorced, <=50K
[38 - 39], 9, 0, 0, [40 - 80], Private, United-States, Male, White, Not-in-family, Nontechnical, Divorced, <=50K
[38 - 39], 9, 0, 0, [40 - 80], Private, United-States, Male, White, Not-in-family, Nontechnical, Divorced, <=50K
[37 - 53], [7 - 10], 0, 0, [40 - 80], Private, United-States, Male, Black, Husband, Nontechnical, Married-civ-spouse, <=50K
[37 - 53], [7 - 10], 0, 0, [40 - 80], Private, United-States, Male, Black, Husband, Nontechnical, Married-civ-spouse, <=50K
[37 - 53], [7 - 10], 0, 0, [40 - 80], Private, United-States, Male, Black, Husband, Nontechnical, Married-civ-spouse, >50K
[28 - 47], [13 - 15], 0, [0 - 1902], [40 - 60], Private, Non-US, Female, *, Wife, Prof-specialty, Married-civ-spouse, <=50K
[28 - 47], [13 - 15], 0, [0 - 1902], [40 - 60], Private, Non-US, Female, *, Wife, Prof-specialty, Married-civ-spouse, >50K
[28 - 47], [13 - 15], 0, [0 - 1902], [40 - 60], Private, Non-US, Female, *, Wife, Prof-specialty, Married-civ-spouse, <=50K
[30 - 47], [9 - 14], 0, 0, 40, Private, United-States, Female, White, Wife, Exec-managerial, Married-civ-spouse, <=50K
[30 - 47], [9 - 14], 0, 0, 40, Private, United-States, Female, White, Wife, Exec-managerial, Married-civ-spouse, >50K
[30 - 47], [9 - 14], 0, 0, 40, Private, United-States, Female, White, Wife, Exec-managerial, Married-civ-spouse, <=50K
[33 - 75], [2 - 11], 0, 0, [16 - 40], Private, Non-US, Female, *, Not-in-family, Other, *, <=50K
[33 - 75], [2 - 11], 0, 0, [16 - 40], Private, Non-US, Female, *, Not-in-family, Other, *, <=50K
[33 - 75], [2 - 11], 0, 0, [16 - 40], Private, Non-US, Female, *, Not-in-family, Other, *, <=50K
[26 - 45], [11 - 14], [0 - 14084], [0 - 1876], [40 - 50], Private, United-States, Female, White, Not-in-family, Prof-specialty, Never-married, >50K
