age, workclass, education-num, marital-status, occupation, relationship, race, sex, capital-gain, capital-loss, hours-per-week, native-country, income
[25 - 43], *, [10 - 13], Never-married, Other, Not-in-family, White, Male, [0 - 2174], 0, [25 - 60], United-States, <=50K
[25 - 43], *, [10 - 13], Never-married, Other, Not-in-family, White, Male, [0 - 2174], 0, [25 - 60], United-States, <=50K
[25 - 43], *, [10 - 13], Never-married, Other, Not-in-family, White, Male, [0 - 2174], 0, [25 - 60], United-States, <=50K
[25 - 43], *, [10 - 13], Never-married, Other, Not-in-family, White, Male, [0 - 2174], 0, [25 - 60], United-States, <=50K
[25 - 43], *, [10 - 13], Never-married, Other, Not-in-family, White, Male, [0 - 2174], 0, [25 - 60], United-States, <=50K
[25 - 43], *, [10 - 13], Never-married, Other, Not-in-family, White, Male, [0 - 2174], 0, [25 - 60], United-States, <=50K
[25 - 43], *, [10 - 13], Never-married, Other, Not-in-family, White, Male, [0 - 2174], 0, [25 - 60], United-States, <=50K
[33 - 52], Self-emp-not-inc, [9 - 13], Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, [13 - 60], United-States, <=50K
[33 - 52], Self-emp-not-inc, [9 - 13], Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, [13 - 60], United-States, <=50K
[33 - 52], Self-emp-not-inc, [9 - 13], Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, [13 - 60], United-States, <=50K
[33 - 52], Self-emp-not-inc, [9 - 13], Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, [13 - 60], United-States, <=50K
[33 - 52], Self-emp-not-inc, [9 - 13], Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, [13 - 60], United-States, >50K
[33 - 52], Self-emp-not-inc, [9 - 13], Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, [13 - 60], United-States, >50K
[33 - 52], Self-emp-not-inc, [9 - 13], Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, [13 - 60], United-States, <=50K
[38 - 43], Private, [9 - 10], Divorced, *, Not-in-family, White, Male, 0, 0, [40 - 80], United-States, <=50K
[38 - 43], Private, [9 - 10], Divorced, *, Not-in-family, White, Male, 0, 0, [40 - 80], United-States, <=50K
[38 - 43], Private, [9 - 10], Divorced, *, Not-in-family, White, Male, 0, 0, [40 - 80], United-States, <=50K
[38 - 43], Private, [9 - 10], Divorced, *, Not-in-family, White, Male, 0, 0, [40 - 80], United-States, <=50K
[38 - 43], Private, [9 - 10], Divorced, *, Not-in-family, White, Male, 0, 0, [40 - 80], United-States, <=50K
[38 - 43], Private, [9 - 10], Divorced, *, Not-in-family, White, Male, 0, 0, [40 - 80], United-States, <=50K
[38 - 43], Private, [9 - 10], Divorced, *, Not-in-family, White, Male, 0, 0, [40 - 80], United-States, <=50K
[42 - 54], self, [7 - 9], Married-civ-spouse, *, Husband, Black, Male, 0, 0, 40, United-States, <=50K
[42 - 54], self, [7 - 9], Married-civ-spouse, *, Husband, Black, Male, 0, 0, 40, United-States, <=50K
[42 - 54], self, [7 - 9], Married-civ-spouse, *, Husband, Black, Male, 0, 0, 40, United-States, >50K
[42 - 54], self, [7 - 9], Married-civ-spouse, *, Husband, Black, Male, 0, 0, 40, United-States, <=50K
[42 - 54], self, [7 - 9], Married-civ-spouse, *, Husband, Black, Male, 0, 0, 40, United-States, <=50K
[42 - 54], self, [7 - 9], Married-civ-spouse, *, Husband, Black, Male, 0, 0, 40, United-States, <=50K
[42 - 54], self, [7 - 9], Married-civ-spouse, *, Husband, Black, Male, 0, 0, 40, United-States, >50K
[28 - 43], Private, [9 - 15], Married-civ-spouse, Technical, Wife, *, Female, 0, 0, [40 - 50], *, <=50K
[28 - 43], Private, [9 - 15], Married-civ-spouse, Technical, Wife, *, Female, 0, 0, [40 - 50], *, <=50K
[28 - 43], Private, [9 - 15], Married-civ-spouse, Technical, Wife, *, Female, 0, 0, [40 - 50], *, <=50K
[28 - 43], Private, [9 - 15], Married-civ-spouse, Technical, Wife, *, Female, 0, 0, [40 - 50], *, >50K
[28 - 43], Private, [9 - 15], Married-civ-spouse, Technical, Wife, *, Female, 0, 0, [40 - 50], *, >50K
[28 - 43], Private, [9 - 15], Married-civ-spouse, Technical, Wife, *, Female, 0, 0, [40 - 50], *, >50K
[28 - 43], Private, [9 - 15], Married-civ-spouse, Technical, Wife, *, Female, 0, 0, [40 - 50], *, <=50K
[28 - 47], Private, [9 - 14], Married-civ-spouse, Nontechnical, Wife, White, Female, [0 - 4064], 0, [25 - 50], United-States, <=50K
[28 - 47], Private, [9 - 14], Married-civ-spouse, Nontechnical, Wife, White, Female, [0 - 4064], 0, [25 - 50], United-States, >50K
