age, workclass, education-num, marital-status, occupation, relationship, race, sex, capital-gain, capital-loss, hours-per-week, native-country, income
[22 - 59], *, 3, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 3674], [0 - 2258], [15 - 47], United-States, <=50K
[22 - 59], *, 3, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 3674], [0 - 2258], [15 - 47], United-States, <=50K
[22 - 59], *, 3, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 3674], [0 - 2258], [15 - 47], United-States, <=50K
[22 - 59], *, 3, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 3674], [0 - 2258], [15 - 47], United-States, <=50K
[22 - 59], *, 3, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 3674], [0 - 2258], [15 - 47], United-States, <=50K
[22 - 59], *, 3, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 3674], [0 - 2258], [15 - 47], United-States, <=50K
[22 - 59], *, 3, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 3674], [0 - 2258], [15 - 47], United-States, <=50K
[22 - 59], *, 3, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 3674], [0 - 2258], [15 - 47], United-States, <=50K
[22 - 59], *, 3, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 3674], [0 - 2258], [15 - 47], United-States, <=50K
[22 - 59], *, 4, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 3674], [0 - 2258], [15 - 47], United-States, <=50K
[22 - 59], *, 3, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 3674], [0 - 2258], [15 - 47], United-States, <=50K
[22 - 59], *, 3, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 3674], [0 - 2258], [15 - 47], United-States, <=50K
[22 - 59], *, 2, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 3674], [0 - 2258], [15 - 47], United-States, <=50K
[22 - 59], *, 3, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 3674], [0 - 2258], [15 - 47], United-States, <=50K
[22 - 59], *, 2, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 3674], [0 - 2258], [15 - 47], United-States, <=50K
[22 - 59], *, 3, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 3674], [0 - 2258], [15 - 47], United-States, <=50K
[22 - 59], *, 2, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 3674], [0 - 2258], [15 - 47], United-States, <=50K
[22 - 59], *, 3, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 3674], [0 - 2258], [15 - 47], United-States, <=50K
[22 - 59], *, 3, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 3674], [0 - 2258], [15 - 47], United-States, <=50K
[22 - 59], *, 3, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 3674], [0 - 2258], [15 - 47], United-States, <=50K
[22 - 59], *, 3, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 3674], [0 - 2258], [15 - 47], United-States, <=50K
[22 - 59], *, 2, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 3674], [0 - 2258], [15 - 47], United-States, <=50K
[22 - 59], *, 3, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 3674], [0 - 2258], [15 - 47], United-States, <=50K
[22 - 59], *, 3, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 3674], [0 - 2258], [15 - 47], United-States, <=50K
[22 - 59], *, 3, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 3674], [0 - 2258], [15 - 47], United-States, <=50K
[22 - 59], *, 3, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 3674], [0 - 2258], [15 - 47], United-States, <=50K
[22 - 59], *, 3, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 3674], [0 - 2258], [15 - 47], United-States, <=50K
[22 - 59], *, 3, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 3674], [0 - 2258], [15 - 47], United-States, <=50K
[22 - 59], *, 2, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 3674], [0 - 2258], [15 - 47], United-States, <=50K
[22 - 59], *, 3, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 3674], [0 - 2258], [15 - 47], United-States, <=50K
[22 - 59], *, 3, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 3674], [0 - 2258], [15 - 47], United-States, <=50K
[22 - 59], *, 3, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 3674], [0 - 2258], [15 - 47], United-States, <=50K
[22 - 59], *, 3, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 3674], [0 - 2258], [15 - 47], United-States, <=50K
[22 - 59], *, 3, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 3674], [0 - 2258], [15 - 47], United-States, <=50K
[22 - 59], *, 3, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 3674], [0 - 2258], [15 - 47], United-States, <=50K
[22 - 59], *, 3, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 3674], [0 - 2258], [15 - 47], United-States, <=50K
[22 - 59], *, 3, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 3674], [0 - 2258], [15 - 47], United-States, <=50K
[22 - 59], *, 2, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 3674], [0 - 2258], [15 - 47], United-States, <=50K
[22 - 59], *, 2, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 3674], [0 - 2258], [15 - 47], United-States, <=50K
[22 - 59], *, 3, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 3674], [0 - 2258], [15 - 47], United-States, <=50K
[22 - 59], *, 3, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 3674], [0 - 2258], [15 - 47], United-States, <=50K
[22 - 59], *, 2, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 3674], [0 - 2258], [15 - 47], United-States, <=50K
[22 - 59], *, 2, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 3674], [0 - 2258], [15 - 47], United-States, <=50K
[22 - 59], *, 3, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 3674], [0 - 2258], [15 - 47], United-States, <=50K
[22 - 59], *, 2, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 3674], [0 - 2258], [15 - 47], United-States, <=50K
[22 - 59], *, 3, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 3674], [0 - 2258], [15 - 47], United-States, <=50K
[22 - 59], *, 2, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 3674], [0 - 2258], [15 - 47], United-States, <=50K
[22 - 59], *, 3, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 3674], [0 - 2258], [15 - 47], United-States, <=50K
[22 - 59], *, 3, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 3674], [0 - 2258], [15 - 47], United-States, <=50K
[22 - 59], *, 2, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 3674], [0 - 2258], [15 - 47], United-States, <=50K
[22 - 59], *, 3, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 3674], [0 - 2258], [15 - 47], United-States, <=50K
[22 - 59], *, 3, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 3674], [0 - 2258], [15 - 47], United-States, <=50K
[22 - 59], *, 2, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 3674], [0 - 2258], [15 - 47], United-States, <=50K
[22 - 59], *, 3, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 3674], [0 - 2258], [15 - 47], United-States, <=50K
[22 - 59], *, 3, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 3674], [0 - 2258], [15 - 47], United-States, <=50K
[22 - 59], *, 2, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 3674], [0 - 2258], [15 - 47], United-States, <=50K
[22 - 59], *, 3, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 3674], [0 - 2258], [15 - 47], United-States, <=50K
[22 - 59], *, 3, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 3674], [0 - 2258], [15 - 47], United-States, <=50K
[22 - 59], *, 3, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 3674], [0 - 2258], [15 - 47], United-States, <=50K
[22 - 59], *, 3, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 3674], [0 - 2258], [15 - 47], United-States, <=50K
[22 - 59], *, 3, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 3674], [0 - 2258], [15 - 47], United-States, <=50K
[22 - 59], *, 3, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 3674], [0 - 2258], [15 - 47], United-States, <=50K
[22 - 59], *, 3, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 3674], [0 - 2258], [15 - 47], United-States, <=50K
[22 - 59], *, 3, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 3674], [0 - 2258], [15 - 47], United-States, <=50K
[22 - 59], *, 3, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 3674], [0 - 2258], [15 - 47], United-States, <=50K
[22 - 59], *, 2, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 3674], [0 - 2258], [15 - 47], United-States, <=50K
