age, workclass, education-num, marital-status, occupation, relationship, race, sex, capital-gain, capital-loss, hours-per-week, native-country, income
39, gov, 13, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 2174], [0 - 1741], [40 - 45], United-States, <=50K
39, gov, 13, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 2174], [0 - 1741], [40 - 45], United-States, <=50K
39, gov, 13, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 2174], [0 - 1741], [40 - 45], United-States, <=50K
50, Self-emp-not-inc, [9 - 13], Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, [13 - 35], United-States, <=50K
50, Self-emp-not-inc, [9 - 13], Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, [13 - 35], United-States, <=50K
50, Self-emp-not-inc, [9 - 13], Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, [13 - 35], United-States, <=50K
38, Private, 9, Divorced, Handlers-cleaners, Not-in-family, White, Male, [0 - 594], 0, [40 - 50], United-States, <=50K
38, Private, 9, Never-married, Handlers-cleaners, Not-in-family, White, Male, [0 - 594], 0, [40 - 50], United-States, <=50K
38, Private, 9, Never-married, Handlers-cleaners, Not-in-family, White, Male, [0 - 594], 0, [40 - 50], United-States, <=50K
53, Private, [7 - 13], Married-civ-spouse, *, Husband, Black, Male, 0, 0, 40, United-States, <=50K
53, Private, [7 - 13], Married-civ-spouse, *, Husband, Black, Male, 0, 0, 40, United-States, <=50K
53, Private, [7 - 13], Married-civ-spouse, *, Husband, Black, Male, 0, 0, 40, United-States, <=50K
28, Private, [11 - 13], Married-civ-spouse, *, Wife, *, Female, 0, 0, [35 - 40], Non-US, <=50K
28, Private, [11 - 13], Married-civ-spouse, *, Wife, *, Female, 0, 0, [35 - 40], Non-US, <=50K
28, Private, [11 - 13], Married-civ-spouse, *, Wife, *, Female, 0, 0, [35 - 40], Non-US, <=50K
37, self, [10 - 14], Married-civ-spouse, Nontechnical, Wife, White, Female, 0, 0, [15 - 50], United-States, <=50K
37, self, [10 - 14], Married-civ-spouse, Nontechnical, Wife, White, Female, 0, 0, [15 - 50], United-States, <=50K
37, self, [10 - 14], Married-civ-spouse, Nontechnical, Wife, White, Female, 0, 0, [15 - 50], United-States, <=50K
49, Private, [5 - 9], Married-spouse-absent, Other-service, Not-in-family, Black, Female, 0, 0, [16 - 40], *, <=50K
49, Private, [5 - 9], Separated, Other-service, Not-in-family, Black, Female, 0, 0, [16 - 40], *, <=50K
49, Private, [5 - 9], Divorced, Other-service, Not-in-family, Black, Female, 0, 0, [16 - 40], *, <=50K
52, Self-emp-not-inc, [8 - 13], Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, [45 - 50], United-States, >50K
52, Self-emp-not-inc, [8 - 13], Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, [45 - 50], United-States, >50K
52, Self-emp-not-inc, [8 - 13], Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, [45 - 50], United-States, >50K
31, Private, [13 - 15], Never-married, Prof-specialty, Not-in-family, White, Female, [0 - 14084], 0, [45 - 72], United-States, >50K
