age, workclass, education-num, marital-status, occupation, relationship, race, sex, capital-gain, capital-loss, hours-per-week, native-country, income
[39 - 42], State-gov, 13, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 2174], 0, 40, United-States, <=50K
[39 - 42], State-gov, 13, Never-married, Adm-clerical, Not-in-family, White, Male, [0 - 2174], 0, 40, United-States, <=50K
[39 - 42], State-gov, 13, Divorced, Adm-clerical, Not-in-family, White, Male, [0 - 2174], 0, 40, United-States, <=50K
[47 - 51], Self-emp-not-inc, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, [13 - 30], United-States, <=50K
[47 - 51], Self-emp-not-inc, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, [13 - 30], United-States, <=50K
[47 - 51], Self-emp-not-inc, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, [13 - 30], United-States, <=50K
[38 - 39], Private, 9, Divorced, Handlers-cleaners, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
[38 - 39], Private, 9, Never-married, Handlers-cleaners, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
[38 - 39], Private, 9, Never-married, Handlers-cleaners, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
[43 - 60], Private, [6 - 7], Married-civ-spouse, Handlers-cleaners, Husband, Black, Male, 0, 0, 40, United-States, <=50K
[43 - 60], Private, [6 - 7], Married-civ-spouse, Handlers-cleaners, Husband, Black, Male, 0, 0, 40, United-States, <=50K
[43 - 60], Private, [6 - 7], Married-civ-spouse, Handlers-cleaners, Husband, Black, Male, 0, 0, 40, United-States, <=50K
[28 - 59], Private, [9 - 13], Married-civ-spouse, Technical, Wife, Black, Female, 0, 0, [21 - 40], Non-US, <=50K
[28 - 59], Private, [9 - 13], Married-civ-spouse, Technical, Wife, Black, Female, 0, 0, [21 - 40], Non-US, <=50K
[28 - 59], Private, [9 - 13], Married-civ-spouse, Technical, Wife, Black, Female, 0, 0, [21 - 40], Non-US, <=50K
[32 - 37], Private, [13 - 14], Married-civ-spouse, Exec-managerial, Wife, White, Female, 0, 0, 40, United-States, <=50K
[32 - 37], Private, [13 - 14], Married-civ-spouse, Exec-managerial, Wife, White, Female, 0, 0, 40, United-States, <=50K
[32 - 37], Private, [13 - 14], Married-civ-spouse, Exec-managerial, Wife, White, Female, 0, 0, 40, United-States, <=50K
[45 - 51], Private, [5 - 7], Married-spouse-absent, Other-service, Not-in-family, Black, Female, 0, 0, [16 - 40], Non-US, <=50K
[45 - 51], Private, [5 - 7], Divorced, Other-service, Not-in-family, Black, Female, 0, 0, [16 - 40], Non-US, <=50K
[45 - 51], Private, [5 - 7], Separated, Other-service, Not-in-family, Black, Female, 0, 0, [16 - 40], Non-US, <=50K
[50 - 52], Self-emp-not-inc, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 45, United-States, >50K
[50 - 52], Self-emp-not-inc, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 45, United-States, >50K
[50 - 52], Self-emp-not-inc, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 45, United-States, >50K
[29 - 33], Private, [13 - 14], Never-married, Prof-specialty, Not-in-family, White, Female, [10520 - 14344], 0, [40 - 50], United-States, >50K
[29 - 33], Private, [13 - 14], Never-married, Prof-specialty, Not-in-family, White, Female, [10520 - 14344], 0, [40 - 50], United-States, >50K
[29 - 33], Private, [13 - 14], Never-married, Prof-specialty, Not-in-family, White, Female, [10520 - 14344], 0, [40 - 50], United-States, >50K
[42 - 43], Private, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, [5178 - 7688], 0, 40, United-States, >50K
[42 - 43], Private, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, [5178 - 7688], 0, 40, United-States, >50K
[42 - 43], Private, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, [5178 - 7688], 0, 40, United-States, >50K
[31 - 44], Private, [10 - 11], Married-civ-spouse, Exec-managerial, Husband, Black, Male, 0, 0, [40 - 80], United-States, >50K
[31 - 44], Private, [10 - 11], Married-civ-spouse, Exec-managerial, Husband, Black, Male, 0, 0, [40 - 80], United-States, >50K
[31 - 44], Private, [10 - 11], Married-civ-spouse, Exec-managerial, Husband, Black, Male, 0, 0, [40 - 80], United-States, >50K
[30 - 54], State-gov, [13 - 16], Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male, 0, 0, 40, Non-US, >50K
[30 - 54], State-gov, [13 - 16], Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male, 0, 0, 40, Non-US, >50K
[30 - 54], State-gov, [13 - 16], Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male, 0, 0, 40, Non-US, >50K
[22 - 23], Private, 13, Never-married, Adm-clerical, Own-child, White, Female, [0 - 1055], 0, 30, United-States, <=50K
[22 - 23], Private, 13, Never-married, Adm-clerical, Own-child, White, Female, [0 - 1055], 0, 30, United-States, <=50K
[22 - 23], Private, 13, Never-married, Adm-clerical, Own-child, White, Female, [0 - 1055], 0, 30, United-States, <=50K
[29 - 36], Private, [11 - 13], Never-married, Sales, Not-in-family, Black, Male, 0, 0, [45 - 50], United-States, <=50K
[29 - 36], Private, [11 - 13], Never-married, Sales, Not-in-family, Black, Male, 0, 0, [45 - 50], United-States, <=50K
[29 - 36], Private, [11 - 13], Never-married, Sales, Not-in-family, Black, Male, 0, 0, [45 - 50], United-States, <=50K
[32 - 34], Private, [3 - 6], Married-civ-spouse, *, Husband, Amer-Indian-Eskimo, Male, 0, 0, [40 - 45], *, <=50K
[32 - 34], Private, [3 - 6], Married-civ-spouse, *, Husband, Amer-Indian-Eskimo, Male, 0, 0, [40 - 45], *, <=50K
[32 - 34], Private, [3 - 6], Married-civ-spouse, *, Husband, Amer-Indian-Eskimo, Male, 0, 0, [40 - 45], *, <=50K
[22 - 25], Self-emp-not-inc, 9, Never-married, Farming-fishing, Own-child, White, Male, 0, 0, [35 - 40], United-States, <=50K
[22 - 25], Self-emp-not-inc, 9, Never-married, Farming-fishing, Own-child, White, Male, 0, 0, [35 - 40], United-States, <=50K
[22 - 25], Self-emp-not-inc, 9, Never-married, Farming-fishing, Own-child, White, Male, 0, 0, [35 - 40], United-States, <=50K
[32 - 33], Private, 9, Never-married, Machine-op-inspct, Unmarried, White, Male, 0, 0, 40, United-States, <=50K
[32 - 33], Private, 9, Never-married, Machine-op-inspct, Unmarried, White, Male, 0, 0, 40, United-States, <=50K
[32 - 33], Private, 9, Never-married, Machine-op-inspct, Unmarried, White, Male, 0, 0, 40, United-States, <=50K
[37 - 38], Private, [7 - 9], Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 50, United-States, <=50K
[37 - 38], Private, [7 - 9], Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 50, United-States, <=50K
[37 - 38], Private, [7 - 9], Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 50, United-States, <=50K
[43 - 49], self, [13 - 14], Divorced, Exec-managerial, Unmarried, White, Female, 0, 0, [40 - 45], United-States, >50K
[43 - 49], self, [13 - 14], Divorced, Exec-managerial, Unmarried, White, Female, 0, 0, [40 - 45], United-States, >50K
[43 - 49], self, [13 - 14], Divorced, Exec-managerial, Unmarried, White, Female, 0, 0, [40 - 45], United-States, >50K
[40 - 41], Private, 16, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 60, United-States, >50K
[40 - 41], Private, 16, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 60, United-States, >50K
[40 - 41], Private, 16, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 60, United-States, >50K
[53 - 56], Private, 9, Separated, Other-service, Unmarried, Black, Female, [0 - 594], 0, 20, United-States, <=50K
[53 - 56], Private, 9, Widowed, Other-service, Unmarried, Black, Female, [0 - 594], 0, 20, United-States, <=50K
[53 - 56], Private, 9, Widowed, Other-service, Unmarried, Black, Female, [0 - 594], 0, 20, United-States, <=50K
[33 - 37], Federal-gov, [5 - 9], Married-civ-spouse, Other, Husband, Black, Male, 0, 0, 40, United-States, <=50K
[33 - 37], Federal-gov, [5 - 9], Married-civ-spouse, Other, Husband, Black, Male, 0, 0, 40, United-States, <=50K
[33 - 37], Federal-gov, [5 - 9], Married-civ-spouse, Other, Husband, Black, Male, 0, 0, 40, United-States, <=50K
[43 - 53], Private, [7 - 9], Married-civ-spouse, Transport-moving, Husband, White, Male, 0, [2002 - 2042], 40, United-States, <=50K
[43 - 53], Private, [7 - 9], Married-civ-spouse, Transport-moving, Husband, White, Male, 0, [2002 - 2042], 40, United-States, <=50K
