age, workclass, education-num, marital-status, occupation, relationship, race, sex, capital-gain, capital-loss, hours-per-week, native-country, income
[23 - 47], *, [9 - 13], Never-married, Other, Not-in-family, White, Male, [0 - 2174], 0, [25 - 60], United-States, <=50K
[23 - 47], *, [9 - 13], Never-married, Other, Not-in-family, White, Male, [0 - 2174], 0, [25 - 60], United-States, <=50K
[23 - 47], *, [9 - 13], Never-married, Other, Not-in-family, White, Male, [0 - 2174], 0, [25 - 60], United-States, <=50K
[23 - 47], *, [9 - 13], Never-married, Other, Not-in-family, White, Male, [0 - 2174], 0, [25 - 60], United-States, <=50K
[23 - 47], *, [9 - 13], Never-married, Other, Not-in-family, White, Male, [0 - 2174], 0, [25 - 60], United-States, <=50K
[23 - 47], *, [9 - 13], Never-married, Other, Not-in-family, White, Male, [0 - 2174], 0, [25 - 60], United-States, <=50K
[23 - 47], *, [9 - 13], Never-married, Other, Not-in-family, White, Male, [0 - 2174], 0, [25 - 60], United-States, <=50K
[23 - 47], *, [9 - 13], Never-married, Other, Not-in-family, White, Male, [0 - 2174], 0, [25 - 60], United-States, <=50K
[23 - 47], *, [9 - 13], Never-married, Other, Not-in-family, White, Male, [0 - 2174], 0, [25 - 60], United-States, <=50K
[23 - 47], *, [9 - 13], Never-married, Other, Not-in-family, White, Male, [0 - 2174], 0, [25 - 60], United-States, <=50K
[23 - 47], *, [9 - 13], Never-married, Other, Not-in-family, White, Male, [0 - 2174], 0, [25 - 60], United-States, <=50K
[33 - 81], self, [9 - 13], Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, [13 - 60], United-States, <=50K
[33 - 81], self, [9 - 13], Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, [13 - 60], United-States, <=50K
[33 - 81], self, [9 - 13], Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, [13 - 60], United-States, <=50K
[33 - 81], self, [9 - 13], Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, [13 - 60], United-States, <=50K
[33 - 81], self, [9 - 13], Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, [13 - 60], United-States, >50K
[33 - 81], self, [9 - 13], Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, [13 - 60], United-States, >50K
[33 - 81], self, [9 - 13], Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, [13 - 60], United-States, <=50K
[33 - 81], self, [9 - 13], Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, [13 - 60], United-States, <=50K
[33 - 81], self, [9 - 13], Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, [13 - 60], United-States, <=50K
[33 - 81], self, [9 - 13], Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, [13 - 60], United-States, >50K
[33 - 81], self, [9 - 13], Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, [13 - 60], United-States, <=50K
[35 - 43], Private, [9 - 10], Divorced, *, Not-in-family, White, Male, 0, 0, [40 - 80], United-States, <=50K
[35 - 43], Private, [9 - 10], Divorced, *, Not-in-family, White, Male, 0, 0, [40 - 80], United-States, <=50K
[35 - 43], Private, [9 - 10], Divorced, *, Not-in-family, White, Male, 0, 0, [40 - 80], United-States, <=50K
[35 - 43], Private, [9 - 10], Divorced, *, Not-in-family, White, Male, 0, 0, [40 - 80], United-States, <=50K
[35 - 43], Private, [9 - 10], Divorced, *, Not-in-family, White, Male, 0, 0, [40 - 80], United-States, <=50K
[35 - 43], Private, [9 - 10], Divorced, *, Not-in-family, White, Male, 0, 0, [40 - 80], United-States, <=50K
[35 - 43], Private, [9 - 10], Divorced, *, Not-in-family, White, Male, 0, 0, [40 - 80], United-States, <=50K
[35 - 43], Private, [9 - 10], Divorced, *, Not-in-family, White, Male, 0, 0, [40 - 80], United-States, <=50K
[35 - 43], Private, [9 - 10], Divorced, *, Not-in-family, White, Male, 0, 0, [40 - 80], United-States, <=50K
[35 - 43], Private, [9 - 10], Divorced, *, Not-in-family, White, Male, 0, 0, [40 - 80], United-States, <=50K
[35 - 43], Private, [9 - 10], Divorced, *, Not-in-family, White, Male, 0, 0, [40 - 80], United-States, <=50K
[30 - 54], self, [7 - 9], Married-civ-spouse, *, Husband, Black, Male, 0, 0, [40 - 45], United-States, <=50K
[30 - 54], self, [7 - 9], Married-civ-spouse, *, Husband, Black, Male, 0, 0, [40 - 45], United-States, <=50K
[30 - 54], self, [7 - 9], Married-civ-spouse, *, Husband, Black, Male, 0, 0, [40 - 45], United-States, >50K
[30 - 54], self, [7 - 9], Married-civ-spouse, *, Husband, Black, Male, 0, 0, [40 - 45], United-States, <=50K
[30 - 54], self, [7 - 9], Married-civ-spouse, *, Husband, Black, Male, 0, 0, [40 - 45], United-States, <=50K
