age, workclass, education-num, marital-status, occupation, relationship, race, sex, capital-gain, capital-loss, hours-per-week, native-country, income
[31 - 40], gov, 13, Never-married, Adm-clerical, Not-in-family, White, *, [0 - 2174], 0, [38 - 40], United-States, <=50K
[31 - 40], gov, 10, Never-married, Adm-clerical, Not-in-family, White, *, [0 - 2174], 0, [38 - 40], United-States, <=50K
[31 - 40], gov, 9, Never-married, Adm-clerical, Not-in-family, White, *, [0 - 2174], 0, [38 - 40], United-States, <=50K
[43 - 50], Self-emp-not-inc, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, [13 - 35], United-States, <=50K
[43 - 50], Self-emp-not-inc, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, [13 - 35], United-States, <=50K
[43 - 50], Self-emp-not-inc, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, [13 - 35], United-States, <=50K
[38 - 43], Private, 9, Divorced, Nontechnical, Not-in-family, White, Male, 0, 0, [40 - 80], United-States, <=50K
[38 - 43], Private, 10, Divorced, Nontechnical, Not-in-family, White, Male, 0, 0, [40 - 80], United-States, <=50K
[38 - 43], Private, 9, Divorced, Nontechnical, Not-in-family, White, Male, 0, 0, [40 - 80], United-States, <=50K
[43 - 53], Private, 7, Married-civ-spouse, *, Husband, Black, Male, 0, 0, 40, United-States, <=50K
[43 - 53], Private, 9, Married-civ-spouse, *, Husband, Black, Male, 0, 0, 40, United-States, <=50K
[43 - 53], Private, 9, Married-civ-spouse, *, Husband, Black, Male, 0, 0, 40, United-States, <=50K
[28 - 43], Private, 13, Married-civ-spouse, Technical, Wife, *, Female, 0, 0, [38 - 50], Non-US, <=50K
[28 - 43], Private, 14, Married-civ-spouse, Technical, Wife, *, Female, 0, 0, [38 - 50], Non-US, <=50K
[28 - 43], Private, 3, Married-civ-spouse, Technical, Wife, *, Female, 0, 0, [38 - 50], Non-US, <=50K
[28 - 37], Private, 14, Married-civ-spouse, Nontechnical, Wife, White, Female, 0, 0, 40, United-States, <=50K
[28 - 37], Private, 9, Married-civ-spouse, Nontechnical, Wife, White, Female, 0, 0, 40, United-States, <=50K
[28 - 37], Private, 10, Married-civ-spouse, Nontechnical, Wife, White, Female, 0, 0, 40, United-States, <=50K
[33 - 56], Private, 5, Married-spouse-absent, Other, Not-in-family, *, *, 0, 0, [16 - 40], Non-US, <=50K
[33 - 56], Private, 2, Married-spouse-absent, Other, Not-in-family, *, *, 0, 0, [16 - 40], Non-US, <=50K
[33 - 56], Private, 12, Married-spouse-absent, Other, Not-in-family, *, *, 0, 0, [16 - 40], Non-US, <=50K
[33 - 52], Self-emp-not-inc, 9, Married-civ-spouse, Nontechnical, Husband, White, Male, 0, 0, [40 - 45], United-States, >50K
[33 - 52], Self-emp-not-inc, 13, Married-civ-spouse, Nontechnical, Husband, White, Male, 0, 0, [40 - 45], United-States, >50K
[33 - 52], Self-emp-not-inc, 14, Married-civ-spouse, Nontechnical, Husband, White, Male, 0, 0, [40 - 45], United-States, >50K
[31 - 49], Private, 14, Never-married, *, Not-in-family, White, Female, [0 - 14084], 0, [50 - 56], United-States, >50K
[31 - 49], Private, 14, Never-married, *, Not-in-family, White, Female, [0 - 14084], 0, [50 - 56], United-States, >50K
[31 - 49], Private, 13, Never-married, *, Not-in-family, White, Female, [0 - 14084], 0, [50 - 56], United-States, >50K
[42 - 50], Private, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, [5178 - 7688], 0, [40 - 50], United-States, >50K
[42 - 50], Private, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, [5178 - 7688], 0, [40 - 50], United-States, >50K
[42 - 50], Private, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, [5178 - 7688], 0, [40 - 50], United-States, >50K
[37 - 41], Private, 10, Married-civ-spouse, Exec-managerial, Husband, *, Male, 0, 0, [50 - 80], United-States, >50K
[37 - 41], Private, 13, Married-civ-spouse, Exec-managerial, Husband, *, Male, 0, 0, [50 - 80], United-States, >50K
[37 - 41], Private, 11, Married-civ-spouse, Exec-managerial, Husband, *, Male, 0, 0, [50 - 80], United-States, >50K
[30 - 38], *, 13, Married-civ-spouse, Prof-specialty, Husband, *, Male, 0, 0, 40, Non-US, >50K
[30 - 38], *, 16, Married-civ-spouse, Prof-specialty, Husband, *, Male, 0, 0, 40, Non-US, >50K
[30 - 38], *, 14, Married-civ-spouse, Prof-specialty, Husband, *, Male, 0, 0, 40, Non-US, >50K
[18 - 23], Private, 13, Never-married, Adm-clerical, Own-child, White, Female, 0, 0, [20 - 40], United-States, <=50K
[18 - 23], Private, 13, Never-married, Adm-clerical, Own-child, White, Female, 0, 0, [20 - 40], United-States, <=50K
[18 - 23], Private, 7, Never-married, Adm-clerical, Own-child, White, Female, 0, 0, [20 - 40], United-States, <=50K
[32 - 45], Private, 12, Never-married, Nontechnical, Not-in-family, Black, Male, 0, 0, [40 - 50], United-States, <=50K
[32 - 45], Private, 10, Never-married, Nontechnical, Not-in-family, Black, Male, 0, 0, [40 - 50], United-States, <=50K
[32 - 45], Private, 9, Never-married, Nontechnical, Not-in-family, Black, Male, 0, 0, [40 - 50], United-States, <=50K
[32 - 35], Private, 4, Married-civ-spouse, Other, Husband, *, Male, 0, 0, [40 - 45], Non-US, <=50K
[32 - 35], Private, 11, Married-civ-spouse, Other, Husband, *, Male, 0, 0, [40 - 45], Non-US, <=50K
[32 - 35], Private, 10, Married-civ-spouse, Other, Husband, *, Male, 0, 0, [40 - 45], Non-US, <=50K
[17 - 25], self, 9, Never-married, Farming-fishing, Own-child, White, Male, 0, 0, [10 - 35], United-States, <=50K
[17 - 25], self, 7, Never-married, Farming-fishing, Own-child, White, Male, 0, 0, [10 - 35], United-States, <=50K
[17 - 25], self, 6, Never-married, Farming-fishing, Own-child, White, Male, 0, 0, [10 - 35], United-States, <=50K
[22 - 32], Private, 9, Never-married, Technical, Unmarried, White, Male, 0, 0, [20 - 40], United-States, <=50K
