age, workclass, education-num, marital-status, occupation, relationship, race, sex, capital-gain, capital-loss, hours-per-week, native-country, income
[19 - 49], *, 13, Never-married, Adm-clerical, Not-in-family, White, *, [0 - 2174], 0, [25 - 44], United-States, <=50K
[19 - 49], *, 10, Never-married, Adm-clerical, Not-in-family, White, *, [0 - 2174], 0, [25 - 44], United-States, <=50K
[19 - 49], *, 9, Never-married, Adm-clerical, Not-in-family, White, *, [0 - 2174], 0, [25 - 44], United-States, <=50K
[19 - 49], *, 9, Never-married, Adm-clerical, Not-in-family, White, *, [0 - 2174], 0, [25 - 44], United-States, <=50K
[19 - 49], *, 11, Never-married, Adm-clerical, Not-in-family, White, *, [0 - 2174], 0, [25 - 44], United-States, <=50K
[19 - 49], *, 13, Never-married, Adm-clerical, Not-in-family, White, *, [0 - 2174], 0, [25 - 44], United-States, <=50K
[19 - 49], *, 10, Never-married, Adm-clerical, Not-in-family, White, *, [0 - 2174], 0, [25 - 44], United-States, <=50K
[19 - 49], *, 12, Never-married, Adm-clerical, Not-in-family, White, *, [0 - 2174], 0, [25 - 44], United-States, <=50K
[19 - 49], *, 9, Never-married, Adm-clerical, Not-in-family, White, *, [0 - 2174], 0, [25 - 44], United-States, <=50K
[19 - 49], *, 10, Never-married, Adm-clerical, Not-in-family, White, *, [0 - 2174], 0, [25 - 44], United-States, <=50K
[19 - 49], *, 9, Never-married, Adm-clerical, Not-in-family, White, *, [0 - 2174], 0, [25 - 44], United-States, <=50K
[39 - 81], self, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, [13 - 60], United-States, <=50K
[39 - 81], self, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, [13 - 60], United-States, <=50K
[39 - 81], self, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, [13 - 60], United-States, <=50K
[39 - 81], self, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, [13 - 60], United-States, <=50K
[39 - 81], self, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, [13 - 60], United-States, <=50K
[39 - 81], self, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, [13 - 60], United-States, <=50K
[39 - 81], self, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, [13 - 60], United-States, <=50K
[39 - 81], self, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, [13 - 60], United-States, <=50K
[39 - 81], self, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, [13 - 60], United-States, <=50K
[39 - 81], self, 7, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, [13 - 60], United-States, <=50K
[39 - 81], self, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, [13 - 60], United-States, <=50K
[36 - 43], Private, 9, Divorced, *, Not-in-family, White, Male, 0, 0, [40 - 80], United-States, <=50K
[36 - 43], Private, 10, Divorced, *, Not-in-family, White, Male, 0, 0, [40 - 80], United-States, <=50K
[36 - 43], Private, 9, Divorced, *, Not-in-family, White, Male, 0, 0, [40 - 80], United-States, <=50K
[36 - 43], Private, 9, Divorced, *, Not-in-family, White, Male, 0, 0, [40 - 80], United-States, <=50K
[36 - 43], Private, 10, Divorced, *, Not-in-family, White, Male, 0, 0, [40 - 80], United-States, <=50K
[36 - 43], Private, 12, Divorced, *, Not-in-family, White, Male, 0, 0, [40 - 80], United-States, <=50K
[36 - 43], Private, 10, Divorced, *, Not-in-family, White, Male, 0, 0, [40 - 80], United-States, <=50K
[36 - 43], Private, 10, Divorced, *, Not-in-family, White, Male, 0, 0, [40 - 80], United-States, <=50K
[36 - 43], Private, 9, Divorced, *, Not-in-family, White, Male, 0, 0, [40 - 80], United-States, <=50K
[36 - 43], Private, 10, Divorced, *, Not-in-family, White, Male, 0, 0, [40 - 80], United-States, <=50K
[36 - 43], Private, 10, Divorced, *, Not-in-family, White, Male, 0, 0, [40 - 80], United-States, <=50K
[30 - 54], self, 7, Married-civ-spouse, *, Husband, Black, Male, 0, 0, [20 - 50], United-States, <=50K
[30 - 54], self, 9, Married-civ-spouse, *, Husband, Black, Male, 0, 0, [20 - 50], United-States, <=50K
[30 - 54], self, 9, Married-civ-spouse, *, Husband, Black, Male, 0, 0, [20 - 50], United-States, <=50K
[30 - 54], self, 9, Married-civ-spouse, *, Husband, Black, Male, 0, 0, [20 - 50], United-States, <=50K
[30 - 54], self, 9, Married-civ-spouse, *, Husband, Black, Male, 0, 0, [20 - 50], United-States, <=50K
[30 - 54], self, 9, Married-civ-spouse, *, Husband, Black, Male, 0, 0, [20 - 50], United-States, <=50K
[30 - 54], self, 9, Married-civ-spouse, *, Husband, Black, Male, 0, 0, [20 - 50], United-States, <=50K
[30 - 54], self, 10, Married-civ-spouse, *, Husband, Black, Male, 0, 0, [20 - 50], United-States, <=50K
[30 - 54], self, 9, Married-civ-spouse, *, Husband, Black, Male, 0, 0, [20 - 50], United-States, <=50K
[30 - 54], self, 9, Married-civ-spouse, *, Husband, Black, Male, 0, 0, [20 - 50], United-States, <=50K
[30 - 54], self, 9, Married-civ-spouse, *, Husband, Black, Male, 0, 0, [20 - 50], United-States, <=50K
[22 - 47], self, 13, Married-civ-spouse, *, Wife, *, Female, 0, 0, [30 - 75], *, <=50K
[22 - 47], self, 14, Married-civ-spouse, *, Wife, *, Female, 0, 0, [30 - 75], *, <=50K
[22 - 47], self, 3, Married-civ-spouse, *, Wife, *, Female, 0, 0, [30 - 75], *, <=50K
[22 - 47], self, 11, Married-civ-spouse, *, Wife, *, Female, 0, 0, [30 - 75], *, <=50K
[22 - 47], self, 10, Married-civ-spouse, *, Wife, *, Female, 0, 0, [30 - 75], *, <=50K
[22 - 47], self, 9, Married-civ-spouse, *, Wife, *, Female, 0, 0, [30 - 75], *, <=50K
[22 - 47], self, 10, Married-civ-spouse, *, Wife, *, Female, 0, 0, [30 - 75], *, <=50K
[22 - 47], self, 9, Married-civ-spouse, *, Wife, *, Female, 0, 0, [30 - 75], *, <=50K
[22 - 47], self, 14, Married-civ-spouse, *, Wife, *, Female, 0, 0, [30 - 75], *, <=50K
[22 - 47], self, 10, Married-civ-spouse, *, Wife, *, Female, 0, 0, [30 - 75], *, <=50K
[22 - 47], self, 9, Married-civ-spouse, *, Wife, *, Female, 0, 0, [30 - 75], *, <=50K
[22 - 75], Private, 5, *, *, Not-in-family, *, *, 0, 0, [15 - 72], Non-US, <=50K
[22 - 75], Private, 2, *, *, Not-in-family, *, *, 0, 0, [15 - 72], Non-US, <=50K
[22 - 75], Private, 12, *, *, Not-in-family, *, *, 0, 0, [15 - 72], Non-US, <=50K
[22 - 75], Private, 3, *, *, Not-in-family, *, *, 0, 0, [15 - 72], Non-US, <=50K
[22 - 75], Private, 11, *, *, Not-in-family, *, *, 0, 0, [15 - 72], Non-US, <=50K
[22 - 75], Private, 14, *, *, Not-in-family, *, *, 0, 0, [15 - 72], Non-US, <=50K
[22 - 75], Private, 10, *, *, Not-in-family, *, *, 0, 0, [15 - 72], Non-US, <=50K
[22 - 75], Private, 9, *, *, Not-in-family, *, *, 0, 0, [15 - 72], Non-US, <=50K
[22 - 75], Private, 13, *, *, Not-in-family, *, *, 0, 0, [15 - 72], Non-US, <=50K
[22 - 75], Private, 10, *, *, Not-in-family, *, *, 0, 0, [15 - 72], Non-US, <=50K
[22 - 75], Private, 9, *, *, Not-in-family, *, *, 0, 0, [15 - 72], Non-US, <=50K
[29 - 52], self, 9, Married-civ-spouse, Nontechnical, Husband, White, Male, 0, 0, [40 - 70], United-States, >50K
[29 - 52], self, 13, Married-civ-spouse, Nontechnical, Husband, White, Male, 0, 0, [40 - 70], United-States, >50K
[29 - 52], self, 14, Married-civ-spouse, Nontechnical, Husband, White, Male, 0, 0, [40 - 70], United-States, >50K
[29 - 52], self, 10, Married-civ-spouse, Nontechnical, Husband, White, Male, 0, 0, [40 - 70], United-States, >50K
