age, workclass, education-num, marital-status, occupation, relationship, race, sex, capital-gain, capital-loss, hours-per-week, native-country, income
[25 - 46], *, [9 - 13], Never-married, Other, Not-in-family, White, Male, [0 - 2174], 0, [25 - 60], United-States, <=50K
[25 - 46], *, [9 - 13], Divorced, Other, Not-in-family, White, Male, [0 - 2174], 0, [25 - 60], United-States, <=50K
[25 - 46], *, [9 - 13], Never-married, Other, Not-in-family, White, Male, [0 - 2174], 0, [25 - 60], United-States, <=50K
[25 - 46], *, [9 - 13], Never-married, Other, Not-in-family, White, Male, [0 - 2174], 0, [25 - 60], United-States, <=50K
[25 - 46], *, [9 - 13], Divorced, Other, Not-in-family, White, Male, [0 - 2174], 0, [25 - 60], United-States, <=50K
[25 - 46], *, [9 - 13], Never-married, Other, Not-in-family, White, Male, [0 - 2174], 0, [25 - 60], United-States, <=50K
[25 - 46], *, [9 - 13], Never-married, Other, Not-in-family, White, Male, [0 - 2174], 0, [25 - 60], United-States, <=50K
[25 - 46], *, [9 - 13], Never-married, Other, Not-in-family, White, Male, [0 - 2174], 0, [25 - 60], United-States, <=50K
[25 - 46], *, [9 - 13], Divorced, Other, Not-in-family, White, Male, [0 - 2174], 0, [25 - 60], United-States, <=50K
[25 - 46], *, [9 - 13], Divorced, Other, Not-in-family, White, Male, [0 - 2174], 0, [25 - 60], United-States, <=50K
[25 - 46], *, [9 - 13], Never-married, Other, Not-in-family, White, Male, [0 - 2174], 0, [25 - 60], United-States, <=50K
[32 - 81], self, [9 - 13], Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, [13 - 60], United-States, <=50K
[32 - 81], self, [9 - 13], Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, [13 - 60], United-States, <=50K
[32 - 81], self, [9 - 13], Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, [13 - 60], United-States, <=50K
[32 - 81], self, [9 - 13], Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, [13 - 60], United-States, <=50K
[32 - 81], self, [9 - 13], Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, [13 - 60], United-States, <=50K
[32 - 81], self, [9 - 13], Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, [13 - 60], United-States, <=50K
[32 - 81], self, [9 - 13], Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, [13 - 60], United-States, <=50K
[32 - 81], self, [9 - 13], Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, [13 - 60], United-States, <=50K
[32 - 81], self, [9 - 13], Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, [13 - 60], United-States, <=50K
[32 - 81], self, [9 - 13], Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, [13 - 60], United-States, <=50K
[32 - 81], self, [9 - 13], Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, [13 - 60], United-States, <=50K
[20 - 39], Private, [6 - 13], Divorced, Nontechnical, Not-in-family, White, Male, 0, 0, [35 - 40], United-States, <=50K
[20 - 39], Private, [6 - 13], Never-married, Nontechnical, Not-in-family, White, Male, 0, 0, [35 - 40], United-States, <=50K
[20 - 39], Private, [6 - 13], Never-married, Nontechnical, Not-in-family, White, Male, 0, 0, [35 - 40], United-States, <=50K
[20 - 39], Private, [6 - 13], Never-married, Nontechnical, Not-in-family, White, Male, 0, 0, [35 - 40], United-States, <=50K
[20 - 39], Private, [6 - 13], Never-married, Nontechnical, Not-in-family, White, Male, 0, 0, [35 - 40], United-States, <=50K
[20 - 39], Private, [6 - 13], Never-married, Nontechnical, Not-in-family, White, Male, 0, 0, [35 - 40], United-States, <=50K
[20 - 39], Private, [6 - 13], Never-married, Nontechnical, Not-in-family, White, Male, 0, 0, [35 - 40], United-States, <=50K
[20 - 39], Private, [6 - 13], Never-married, Nontechnical, Not-in-family, White, Male, 0, 0, [35 - 40], United-States, <=50K
[20 - 39], Private, [6 - 13], Never-married, Nontechnical, Not-in-family, White, Male, 0, 0, [35 - 40], United-States, <=50K
[20 - 39], Private, [6 - 13], Never-married, Nontechnical, Not-in-family, White, Male, 0, 0, [35 - 40], United-States, <=50K
[20 - 39], Private, [6 - 13], Never-married, Nontechnical, Not-in-family, White, Male, 0, 0, [35 - 40], United-States, <=50K
[30 - 54], self, [7 - 10], Married-civ-spouse, *, Husband, Black, Male, 0, 0, [20 - 50], United-States, <=50K
[30 - 54], self, [7 - 10], Married-civ-spouse, *, Husband, Black, Male, 0, 0, [20 - 50], United-States, <=50K
[30 - 54], self, [7 - 10], Married-civ-spouse, *, Husband, Black, Male, 0, 0, [20 - 50], United-States, <=50K
[30 - 54], self, [7 - 10], Married-civ-spouse, *, Husband, Black, Male, 0, 0, [20 - 50], United-States, <=50K
[30 - 54], self, [7 - 10], Married-civ-spouse, *, Husband, Black, Male, 0, 0, [20 - 50], United-States, <=50K
[30 - 54], self, [7 - 10], Married-civ-spouse, *, Husband, Black, Male, 0, 0, [20 - 50], United-States, <=50K
[30 - 54], self, [7 - 10], Married-civ-spouse, *, Husband, Black, Male, 0, 0, [20 - 50], United-States, <=50K
[30 - 54], self, [7 - 10], Married-civ-spouse, *, Husband, Black, Male, 0, 0, [20 - 50], United-States, <=50K
[30 - 54], self, [7 - 10], Married-civ-spouse, *, Husband, Black, Male, 0, 0, [20 - 50], United-States, <=50K
[30 - 54], self, [7 - 10], Married-civ-spouse, *, Husband, Black, Male, 0, 0, [20 - 50], United-States, <=50K
[30 - 54], self, [7 - 10], Married-civ-spouse, *, Husband, Black, Male, 0, 0, [20 - 50], United-States, <=50K
[28 - 43], Private, [3 - 14], Married-civ-spouse, *, Wife, *, Female, 0, 0, [32 - 60], *, <=50K
[28 - 43], Private, [3 - 14], Married-civ-spouse, *, Wife, *, Female, 0, 0, [32 - 60], *, <=50K
